open,high,low,close,volume
85.7,85.96,85.39,85.51,384399.0
85.51,85.6,85.34,85.38,195085.0
85.39,85.45,85.26,85.4,261311.0
85.4,85.52,85.37,85.44,159903.0
85.42,85.49,85.4,85.42,117226.0
85.42,85.42,85.35,85.4,107129.0
85.4,85.72,85.36,85.66,713966.0
85.66,85.9,85.64,85.8,157588.0
85.8,86.0,85.75,85.85,240704.0
85.86,85.92,85.76,85.88,170255.0
85.88,85.93,85.78,85.85,137875.0
85.81,85.88,85.75,85.76,119923.0
85.77,85.83,85.68,85.7,139911.0
85.69,85.78,85.66,85.78,163308.0
85.78,85.8,85.73,85.74,47145.0
85.74,85.75,85.7,85.72,43072.0
85.73,85.74,85.7,85.74,36087.0
85.74,85.82,85.71,85.78,58687.0
85.78,85.85,85.75,85.85,69461.0
85.85,85.85,85.8,85.84,51723.0
85.84,85.87,85.82,85.84,62494.0
85.82,85.9,85.81,85.89,61001.0
85.89,85.93,85.85,85.92,99827.0
85.92,85.93,85.75,85.83,181885.0
85.83,85.9,85.79,85.9,83742.0
85.9,85.9,85.7,85.81,81133.0
85.81,85.99,85.77,85.95,731513.0
85.96,86.08,85.91,86.07,286069.0
86.05,86.15,86.03,86.15,386067.0
86.15,86.3,86.07,86.3,288059.0
86.3,86.6,86.3,86.36,665723.0
86.36,86.36,86.24,86.3,103400.0
86.3,86.3,86.17,86.2,863259.0
86.2,86.25,86.15,86.2,135660.0
86.2,86.24,86.14,86.24,153885.0
86.24,86.24,86.15,86.2,71201.0
86.2,86.2,86.03,86.1,113751.0
86.1,86.15,86.02,86.15,121141.0
86.15,86.19,86.12,86.12,111563.0
86.15,86.19,86.09,86.14,77189.0
86.18,86.18,86.05,86.06,129223.0
86.06,86.11,86.02,86.09,58276.0
86.09,86.09,86.03,86.06,63843.0
86.06,86.1,86.03,86.07,58502.0
86.1,86.11,86.0,86.02,102259.0
86.02,86.05,85.97,86.0,64160.0
86.0,86.04,85.98,86.01,53444.0
85.98,86.01,85.91,85.98,53992.0
85.98,86.0,85.92,85.96,34677.0
85.96,86.03,85.96,86.03,35103.0
86.03,86.15,85.98,86.1,217395.0
86.12,86.16,86.02,86.13,75630.0
86.13,86.39,86.09,86.35,292073.0
86.35,86.4,86.3,86.36,182142.0
86.36,86.4,86.28,86.33,153843.0
86.34,86.35,86.26,86.35,177067.0
86.34,86.35,86.31,86.33,103191.0
86.34,86.35,86.19,86.29,138582.0
86.29,86.35,86.29,86.33,136840.0
86.33,86.35,86.26,86.32,123405.0
86.31,86.43,86.3,86.41,307451.0
86.41,86.67,86.4,86.51,606546.0
86.51,86.6,86.43,86.55,349189.0
86.56,86.6,86.45,86.47,185317.0
86.47,86.6,86.41,86.53,243352.0
86.53,86.6,86.53,86.54,220075.0
86.54,86.55,86.41,86.45,255426.0
86.46,86.55,86.42,86.55,321099.0
