open,high,low,close,volume
73.68,74.47,73.36,74.03,702398.0
74.02,74.04,73.77,73.94,233050.0
73.94,74.1,73.82,73.94,179862.0
73.94,74.07,73.8,73.85,114749.0
73.85,74.0,73.8,74.0,175513.0
74.0,74.2,73.95,74.08,158444.0
74.08,74.3,74.08,74.28,123620.0
74.23,74.28,73.95,74.0,198824.0
74.0,74.01,73.9,73.9,35655.0
73.9,74.44,73.9,74.14,272462.0
74.18,74.2,74.12,74.15,39497.0
74.15,74.17,74.1,74.13,38646.0
74.13,74.18,74.1,74.18,43176.0
74.2,74.34,74.2,74.33,176241.0
74.33,74.7,74.28,74.46,477317.0
74.5,75.34,74.38,75.24,794610.0
75.3,75.31,75.0,75.1,446244.0
75.1,75.95,75.02,75.94,687632.0
75.96,76.75,75.9,76.34,2669633.0
76.34,76.8,76.12,76.7,1319214.0
76.7,77.4,76.69,77.35,3347783.0
77.35,77.37,77.01,77.18,1586368.0
77.34,77.65,76.75,77.47,2744728.0
77.53,78.15,77.1,77.4,3238312.0
77.4,77.6,77.13,77.28,1192230.0
77.21,77.41,76.98,77.08,1131167.0
77.1,77.3,76.98,77.0,855832.0
77.01,77.14,77.0,77.14,396217.0
77.14,77.85,76.82,77.73,1825464.0
77.76,77.77,77.19,77.34,860464.0
77.35,77.5,77.3,77.4,437026.0
77.37,77.4,77.2,77.3,523018.0
77.31,77.48,77.27,77.43,391154.0
77.44,77.45,77.24,77.25,298285.0
77.27,77.3,77.02,77.11,465623.0
77.11,77.16,76.9,76.98,567072.0
77.02,77.07,76.93,77.03,240522.0
77.0,77.08,77.0,77.04,112366.0
77.04,77.1,76.93,76.96,183374.0
76.96,77.01,76.84,76.87,231715.0
76.9,76.94,76.8,76.8,254395.0
76.8,76.84,76.64,76.72,538498.0
76.74,76.83,76.66,76.8,326209.0
76.8,76.82,76.51,76.65,319421.0
76.65,76.65,76.51,76.55,229485.0
76.54,76.58,76.51,76.55,128325.0
76.55,76.75,76.5,76.65,411469.0
76.69,76.87,76.68,76.87,259602.0
76.87,77.0,76.85,76.98,408535.0
76.98,77.0,76.91,76.91,218613.0
76.91,76.99,76.65,76.68,557912.0
76.68,76.74,76.6,76.66,285846.0
76.66,76.78,76.66,76.7,94469.0
76.7,76.7,76.53,76.67,169872.0
76.63,76.67,76.51,76.64,196435.0
76.64,76.64,76.47,76.57,144242.0
76.57,76.64,76.5,76.6,109749.0
76.56,76.56,76.32,76.46,275648.0
76.46,76.5,76.38,76.47,191515.0
76.44,76.46,76.4,76.42,100083.0
76.43,76.47,76.38,76.45,95251.0
76.45,76.52,76.4,76.52,120180.0
76.52,76.6,76.4,76.4,332114.0
76.4,76.57,76.39,76.57,230641.0
76.57,76.58,76.5,76.55,108743.0
76.55,76.9,76.51,76.85,677733.0
76.81,76.99,76.76,76.94,368429.0
76.9,76.98,76.9,76.95,104426.0
