open,high,low,close,volume
74.0,74.39,73.85,74.19,532505.0
74.19,74.33,74.05,74.09,369360.0
74.07,74.12,73.9,73.94,180735.0
73.98,73.98,73.8,73.86,253886.0
73.84,73.91,73.71,73.85,123574.0
73.86,74.0,73.82,73.98,83053.0
73.95,74.03,73.9,73.95,227999.0
73.95,74.04,73.9,73.95,64349.0
73.95,73.97,73.81,73.85,62099.0
73.86,73.87,73.76,73.85,76414.0
73.85,73.88,73.79,73.8,149233.0
73.8,73.94,73.71,73.94,121149.0
73.95,74.08,73.82,73.86,94055.0
73.86,73.92,73.82,73.86,29179.0
73.85,73.89,73.73,73.79,179907.0
73.79,73.79,73.65,73.75,153172.0
73.77,73.8,73.63,73.71,104523.0
73.71,73.83,73.66,73.78,27110.0
73.81,73.86,73.75,73.8,20822.0
73.81,73.83,73.75,73.81,25585.0
73.79,73.81,73.75,73.79,26547.0
73.79,73.79,73.7,73.75,41066.0
73.75,73.81,73.7,73.75,60816.0
73.72,73.81,73.7,73.71,23332.0
73.71,73.75,73.7,73.72,27021.0
73.72,73.73,73.7,73.73,20060.0
73.7,73.8,73.7,73.8,19065.0
73.77,73.88,73.77,73.84,52807.0
73.8,73.88,73.8,73.83,18225.0
73.83,73.87,73.81,73.87,29562.0
73.83,73.87,73.73,73.75,51480.0
73.75,73.85,73.75,73.82,20015.0
73.82,73.86,73.77,73.86,46674.0
73.86,74.0,73.83,73.92,183130.0
73.92,73.95,73.87,73.91,79532.0
73.9,73.97,73.87,73.93,136005.0
73.9,73.96,73.89,73.9,47727.0
73.9,73.93,73.87,73.93,34823.0
73.9,73.95,73.88,73.9,57854.0
73.9,73.92,73.8,73.82,30197.0
73.82,73.87,73.8,73.84,19481.0
73.8,73.9,73.8,73.88,30779.0
73.86,73.86,73.8,73.82,22812.0
73.82,73.85,73.76,73.79,26532.0
73.79,73.86,73.78,73.83,20038.0
73.86,73.87,73.79,73.81,15217.0
73.81,73.9,73.8,73.88,37989.0
73.88,73.91,73.81,73.83,20462.0
73.83,73.92,73.8,73.86,42219.0
73.81,73.83,73.76,73.76,30795.0
73.76,73.81,73.75,73.76,32628.0
73.76,73.82,73.75,73.76,18197.0
73.76,73.83,73.74,73.77,23059.0
73.77,73.79,73.75,73.76,9087.0
73.75,73.76,73.7,73.75,47123.0
73.75,73.77,73.68,73.73,84905.0
73.71,73.8,73.71,73.75,27204.0
73.75,73.85,73.75,73.79,46249.0
73.81,73.81,73.68,73.7,52486.0
73.69,73.74,73.68,73.7,53941.0
73.69,73.75,73.69,73.73,28657.0
73.73,73.75,73.7,73.75,28703.0
73.76,73.9,73.76,73.8,53807.0
73.8,73.82,73.6,73.62,218635.0
73.62,73.64,73.5,73.55,351697.0
73.54,73.65,73.54,73.61,43611.0
73.61,73.71,73.58,73.71,118967.0
73.71,73.8,73.61,73.68,114089.0
