open,high,low,close,volume
703.95,708.35,697.55,702.6,10278.0
702.6,704.95,701.95,702.8,4664.0
702.8,703.95,701.8,702.7,4956.0
702.7,702.95,701.15,702.25,4000.0
702.25,702.7,701.9,701.9,2852.0
701.9,702.85,701.15,702.65,1238.0
702.65,702.95,701.15,701.15,6686.0
701.15,701.15,700.0,700.8,6732.0
700.8,701.45,699.0,699.0,4745.0
699.0,699.95,697.2,697.9,8824.0
697.9,698.0,697.3,697.4,1888.0
697.4,701.2,695.7,700.7,16236.0
700.7,701.15,700.0,700.0,2807.0
700.0,701.75,699.3,701.35,6542.0
701.35,701.35,700.35,700.35,2028.0
700.35,701.1,699.3,700.95,2253.0
700.95,702.2,700.7,701.85,1220.0
701.85,702.15,701.3,702.05,2890.0
702.05,704.1,701.8,704.1,4061.0
704.1,705.25,703.65,704.65,8764.0
704.65,705.0,703.5,704.4,1216.0
704.4,704.85,703.0,703.0,1470.0
703.0,703.25,702.15,702.75,980.0
702.75,705.9,702.75,705.9,3534.0
705.9,706.1,704.6,704.7,4450.0
704.75,704.75,703.85,704.15,2504.0
704.15,704.4,704.1,704.35,1269.0
704.3,705.3,704.2,705.0,8962.0
705.0,705.5,704.7,705.0,4891.0
705.0,705.0,704.4,704.55,428.0
704.55,705.0,704.55,704.85,844.0
704.85,705.4,704.8,705.4,2183.0
705.4,705.45,705.0,705.4,825.0
705.4,705.45,704.6,705.0,5023.0
705.0,705.2,704.5,704.75,1066.0
704.75,705.0,704.2,704.4,1155.0
704.4,704.4,702.85,703.5,918.0
703.35,704.15,703.1,703.25,1141.0
703.25,704.1,702.55,702.55,1417.0
702.55,702.55,702.0,702.0,2611.0
702.0,702.1,701.7,701.8,736.0
701.85,701.85,701.0,701.45,2391.0
701.45,701.75,701.1,701.1,604.0
701.1,702.55,701.1,702.25,1744.0
702.25,702.25,701.35,701.95,945.0
701.5,701.55,699.7,700.1,3860.0
700.1,700.55,699.5,700.0,990.0
700.0,700.65,700.0,700.0,626.0
700.0,702.75,700.0,700.0,7115.0
700.0,701.0,700.0,700.85,1266.0
700.85,701.0,700.0,701.0,1718.0
700.95,700.95,699.95,700.0,3369.0
700.0,700.7,699.75,700.6,2025.0
700.6,700.6,699.6,699.6,914.0
699.6,700.3,699.6,699.95,1743.0
699.95,699.95,699.5,699.5,465.0
699.5,700.8,699.4,699.6,1562.0
699.6,700.15,699.4,700.15,1208.0
700.15,700.15,698.15,698.25,1363.0
698.25,698.9,698.0,698.45,2254.0
698.45,698.6,698.4,698.55,1526.0
699.1,699.1,698.4,698.55,1367.0
698.55,698.6,697.0,697.15,5411.0
697.0,698.65,697.0,697.75,8124.0
697.8,698.25,697.45,697.7,2618.0
697.7,699.0,697.7,698.8,1652.0
698.8,700.0,698.45,699.35,3592.0
699.35,699.35,698.75,698.95,1992.0
