open,high,low,close,volume
547.2,551.0,542.95,544.2,14290.0
544.2,546.95,544.2,546.95,3372.0
546.95,548.05,545.5,547.1,3423.0
547.1,549.0,547.1,548.8,5000.0
548.8,548.8,548.05,548.75,1296.0
548.75,549.7,548.05,549.55,1726.0
549.55,549.95,549.05,549.95,532.0
549.95,550.0,548.1,548.85,1104.0
548.85,548.95,546.3,546.3,5694.0
546.3,547.6,546.3,547.55,661.0
547.55,548.7,547.55,548.65,979.0
548.3,548.9,548.3,548.6,1070.0
548.6,548.75,547.65,548.5,624.0
548.5,548.5,548.1,548.5,580.0
548.5,548.85,548.2,548.5,236.0
548.5,550.0,548.3,549.7,3532.0
549.7,550.0,549.2,549.9,1337.0
549.9,550.0,549.65,550.0,625.0
550.0,550.0,549.6,549.65,949.0
549.65,549.9,549.3,549.85,435.0
549.85,549.9,549.6,549.9,601.0
549.9,549.9,549.55,549.8,1752.0
549.8,550.0,549.55,549.55,991.0
549.55,550.0,549.5,549.6,546.0
549.6,549.65,549.15,549.25,925.0
549.25,549.65,549.2,549.3,2175.0
549.3,550.0,549.3,550.0,496.0
550.0,550.25,549.8,550.0,4883.0
550.0,550.0,549.75,550.0,621.0
550.0,550.0,549.75,549.95,906.0
549.95,550.0,549.8,550.0,526.0
550.0,550.1,549.5,550.0,1904.0
550.0,550.0,549.85,550.0,629.0
550.0,553.0,549.85,550.2,10297.0
550.2,550.2,549.5,549.85,800.0
549.85,549.85,549.0,549.65,655.0
549.65,550.0,549.3,549.85,616.0
549.85,550.0,549.65,550.0,394.0
550.0,550.0,549.6,549.85,593.0
549.85,550.0,549.35,549.65,560.0
549.65,549.9,549.3,549.35,3125.0
549.35,549.8,549.35,549.8,191.0
549.8,550.0,549.65,550.0,1108.0
550.0,550.0,549.65,549.95,513.0
549.95,549.95,549.65,549.85,379.0
549.85,550.0,549.65,550.0,1599.0
550.0,550.0,549.85,550.0,389.0
550.0,550.0,549.8,549.95,527.0
549.95,549.95,549.7,549.95,693.0
549.95,549.95,549.4,549.9,261.0
549.9,549.95,549.65,549.95,265.0
549.95,549.95,549.7,549.95,343.0
549.95,549.95,549.65,549.9,642.0
549.9,550.0,549.7,549.95,772.0
549.95,550.0,549.65,549.85,558.0
549.85,550.0,549.55,549.85,669.0
549.85,550.0,549.5,550.0,391.0
550.0,550.0,549.6,549.9,491.0
549.9,549.95,549.5,549.8,693.0
549.8,549.95,549.5,549.95,624.0
549.95,549.95,549.6,549.8,241.0
549.8,549.85,549.6,549.85,508.0
549.85,549.85,549.2,549.75,1912.0
549.75,549.9,549.45,549.65,400.0
549.65,549.9,549.3,549.35,505.0
549.35,549.5,549.25,549.5,418.0
549.5,549.5,549.2,549.5,714.0
549.5,549.5,549.0,549.1,447.0
