open,high,low,close,volume
737.0,741.2,736.0,739.95,8057.0
740.45,740.5,738.7,739.8,3109.0
739.8,739.9,738.05,739.35,6260.0
739.35,739.5,737.55,739.35,3147.0
739.35,743.2,738.8,741.4,8505.0
742.1,742.25,740.55,741.0,2454.0
741.0,741.95,738.1,738.15,2363.0
738.15,738.55,737.65,737.85,1022.0
737.85,738.55,735.15,735.15,1559.0
735.15,735.6,734.1,734.8,699.0
734.8,735.25,734.4,734.85,1000.0
734.85,737.0,733.7,735.95,3259.0
737.25,737.65,736.75,737.65,1400.0
737.65,738.0,737.0,737.0,1546.0
736.4,737.4,736.4,737.35,999.0
737.35,737.5,736.0,736.8,806.0
736.8,736.8,736.25,736.45,107.0
736.45,736.8,736.05,736.05,1616.0
736.05,737.85,736.05,737.85,732.0
737.85,738.55,737.4,737.75,6038.0
737.75,739.1,736.8,736.8,4967.0
736.8,737.5,735.55,735.55,233.0
735.55,736.0,735.5,735.75,150.0
735.75,736.0,734.45,734.45,1067.0
734.45,735.45,734.45,735.1,956.0
735.4,735.4,734.7,734.7,423.0
734.7,734.7,734.0,734.6,1494.0
734.6,735.75,734.6,735.55,1185.0
735.55,739.0,735.5,738.3,1591.0
738.3,738.65,737.55,737.55,556.0
737.55,738.95,736.9,738.95,1492.0
738.95,738.95,737.2,737.75,503.0
737.75,738.2,736.8,738.1,807.0
738.1,738.5,737.15,738.5,963.0
738.5,738.5,737.3,737.9,393.0
737.7,738.4,737.05,738.0,1410.0
738.0,738.0,737.5,737.5,244.0
737.5,737.55,737.1,737.4,492.0
737.4,737.55,737.4,737.5,191.0
737.5,737.55,737.35,737.55,187.0
737.55,738.5,737.0,737.15,16976.0
737.15,738.1,737.1,738.0,23298.0
738.0,738.0,735.6,735.8,1222.0
735.3,736.55,735.3,736.05,2985.0
736.05,736.4,735.8,736.4,391.0
736.4,737.45,736.15,736.15,856.0
736.6,736.8,736.05,736.8,242.0
736.8,737.45,736.35,737.45,984.0
737.45,737.45,736.3,736.3,951.0
736.3,736.55,736.3,736.55,152.0
736.55,736.6,735.5,735.5,682.0
735.5,736.8,735.35,736.75,6632.0
736.75,737.0,736.75,736.95,94.0
736.95,736.95,736.4,736.4,319.0
736.4,736.5,735.75,735.85,237.0
735.85,736.3,735.85,736.0,261.0
736.0,736.0,735.45,735.55,559.0
735.55,735.95,734.6,734.8,965.0
734.8,736.05,734.8,735.4,807.0
735.4,735.75,735.15,735.2,898.0
735.2,735.65,735.05,735.15,557.0
735.15,736.45,735.15,735.55,982.0
735.55,736.15,735.55,735.85,383.0
735.85,736.75,735.8,736.4,506.0
736.4,736.75,733.6,733.9,9529.0
733.9,734.5,733.7,733.7,1303.0
733.8,735.6,733.25,734.95,5137.0
734.95,735.75,734.35,734.75,835.0
