open,high,low,close,volume
194.5,197.94,194.2,196.22,38981.0
196.22,196.49,194.87,196.31,45605.0
196.31,196.47,195.7,196.36,14871.0
196.36,198.36,196.36,197.72,27605.0
197.72,197.87,197.38,197.69,13019.0
197.69,197.95,197.54,197.79,8747.0
197.79,197.9,197.55,197.75,5841.0
197.75,197.82,197.3,197.51,6376.0
197.51,197.65,197.04,197.24,2503.0
197.25,197.65,197.07,197.45,3657.0
197.44,198.81,197.11,198.61,16589.0
198.61,198.88,198.27,198.43,8007.0
198.43,198.79,198.24,198.52,8559.0
198.53,198.65,198.14,198.41,4167.0
198.41,198.58,198.14,198.38,4111.0
198.38,198.58,198.28,198.58,1970.0
198.58,198.58,198.34,198.58,4108.0
198.58,198.78,198.34,198.46,4597.0
198.56,198.78,198.11,198.64,6246.0
198.64,198.79,198.2,198.2,5681.0
198.2,198.8,198.2,198.8,8244.0
198.8,198.8,198.5,198.56,2429.0
198.56,198.79,198.5,198.7,6420.0
198.51,198.75,198.51,198.64,2024.0
198.64,198.75,198.53,198.74,2547.0
198.74,199.42,198.73,199.2,11403.0
199.29,200.22,199.19,200.1,21138.0
200.1,201.28,200.1,200.8,14936.0
200.79,201.19,199.63,199.97,68594.0
199.97,200.04,199.31,199.5,8788.0
199.59,199.86,199.52,199.63,4481.0
199.68,200.89,199.68,200.88,21928.0
200.88,200.88,200.65,200.81,5651.0
200.81,201.09,200.29,200.29,6373.0
200.29,200.61,200.28,200.36,2678.0
200.36,200.5,200.24,200.44,1701.0
200.5,200.5,200.0,200.33,4413.0
200.33,200.33,200.12,200.33,1975.0
200.25,200.41,200.06,200.09,4944.0
200.09,200.32,199.88,199.88,9051.0
199.74,199.99,199.74,199.99,3059.0
199.99,199.99,199.77,199.99,6842.0
200.0,200.31,199.94,200.2,3697.0
200.2,200.5,200.15,200.24,6118.0
200.3,200.3,199.85,200.06,1876.0
200.06,200.17,200.03,200.09,1553.0
200.09,200.4,200.08,200.21,1940.0
200.21,200.36,200.05,200.1,1125.0
