open,high,low,close,volume
800.0,807.35,799.95,804.65,4965.0
804.65,806.4,803.65,805.9,900.0
805.9,806.8,805.15,805.55,1848.0
805.55,807.3,805.35,806.5,1286.0
806.5,810.0,805.05,805.95,7720.0
805.95,806.85,805.2,805.65,462.0
805.65,805.95,805.25,805.85,421.0
805.85,806.15,803.95,804.35,1426.0
804.35,804.95,804.0,804.0,855.0
803.6,804.5,803.6,803.7,887.0
803.7,804.35,801.0,801.3,14710.0
801.3,803.2,801.0,802.1,9796.0
802.1,802.6,801.1,801.5,3388.0
801.5,801.85,801.15,801.55,861.0
801.25,801.9,801.25,801.9,386.0
801.5,801.75,801.1,801.7,1165.0
801.7,801.7,801.3,801.7,117.0
801.7,802.35,801.65,802.0,999.0
801.9,803.35,801.3,802.65,2329.0
802.65,805.15,802.65,803.1,1790.0
803.1,803.35,802.0,802.65,1081.0
802.65,803.15,801.2,801.6,2117.0
801.6,802.0,801.6,801.75,189.0
801.9,802.0,801.1,801.1,1148.0
801.1,802.7,801.1,802.35,15803.0
802.35,804.0,801.2,801.25,8876.0
801.25,802.3,801.1,801.85,522.0
801.85,802.65,801.85,802.2,23.0
802.2,803.05,802.2,802.3,174.0
802.3,803.45,802.3,803.1,486.0
803.1,803.5,802.75,803.1,1563.0
803.1,803.5,802.65,803.45,347.0
803.45,803.7,803.15,803.35,42.0
803.35,804.0,803.35,803.4,87.0
803.4,804.25,803.4,803.75,482.0
804.0,804.0,803.15,803.75,275.0
803.75,803.75,802.55,802.55,639.0
802.6,803.1,802.4,803.1,103.0
802.5,803.1,802.5,803.1,76.0
803.1,803.1,802.4,802.7,56.0
802.7,802.7,802.6,802.6,47.0
802.6,803.4,802.6,803.1,180.0
803.1,803.5,803.1,803.1,194.0
803.1,803.15,803.1,803.15,25.0
803.15,803.65,802.3,803.65,618.0
803.65,804.15,802.65,803.4,19660.0
803.4,803.4,801.55,801.85,893.0
801.85,802.35,801.55,802.35,296.0
