open,high,low,close,volume
317.2,317.3,315.25,315.6,66481.0
315.75,315.95,315.45,315.65,37987.0
315.65,316.5,315.55,315.6,55414.0
315.7,316.25,315.6,315.85,15352.0
315.85,316.05,315.35,315.65,16063.0
315.65,315.95,315.3,315.65,25060.0
315.75,316.0,315.5,315.65,17824.0
315.65,315.9,315.6,315.9,18141.0
315.9,315.95,315.5,315.65,19574.0
315.65,315.8,315.6,315.75,5816.0
315.75,316.05,315.25,315.25,30979.0
315.25,315.35,314.7,314.9,33156.0
314.9,315.2,314.85,314.9,28431.0
314.9,315.0,314.55,314.6,7642.0
314.6,314.85,314.5,314.7,8149.0
314.7,314.8,314.5,314.75,6716.0
314.75,315.25,314.75,315.1,8297.0
315.1,315.25,315.05,315.1,6523.0
315.1,315.6,315.1,315.45,16424.0
315.45,315.6,315.15,315.15,3981.0
315.15,315.25,315.0,315.25,3236.0
315.25,315.25,315.0,315.05,6199.0
315.05,315.05,314.6,314.75,11470.0
314.75,315.25,314.75,315.25,10842.0
315.25,315.35,315.2,315.3,2576.0
315.3,315.55,314.15,314.15,17715.0
314.15,314.45,314.15,314.35,18069.0
314.35,314.55,314.25,314.4,8707.0
314.4,314.55,314.25,314.3,15946.0
314.4,314.5,314.15,314.15,11229.0
314.15,314.35,314.15,314.15,8275.0
314.15,314.3,314.1,314.2,6693.0
314.2,314.45,314.2,314.45,3047.0
314.45,315.15,314.45,314.8,18698.0
314.8,315.0,314.55,314.55,8172.0
314.55,314.6,314.3,314.4,5019.0
314.4,314.5,314.2,314.35,5813.0
314.35,314.6,314.2,314.6,8743.0
314.6,314.65,314.4,314.4,5622.0
314.4,314.55,314.05,314.1,7603.0
314.1,314.35,314.1,314.3,9180.0
314.3,314.5,314.3,314.3,5382.0
314.3,314.35,313.5,314.15,21630.0
314.15,314.25,313.8,313.95,5093.0
313.95,314.1,313.9,314.0,4453.0
314.0,314.1,313.9,314.0,5884.0
314.0,314.0,313.75,313.95,4298.0
313.95,313.95,313.3,313.65,25828.0
313.65,315.15,313.45,314.45,31071.0
314.45,314.45,314.2,314.45,5283.0
314.45,314.45,314.15,314.3,3815.0
314.3,314.35,314.15,314.2,2932.0
314.2,314.35,314.2,314.2,6532.0
314.2,314.4,314.15,314.3,4395.0
314.3,314.5,314.0,314.1,11109.0
314.2,314.4,314.05,314.2,8414.0
314.2,314.3,314.2,314.2,3756.0
314.2,314.35,314.05,314.3,5870.0
314.3,314.6,314.2,314.3,9751.0
314.4,314.4,314.2,314.2,6741.0
314.2,314.85,314.2,314.6,9081.0
314.8,315.1,314.6,315.05,12292.0
315.05,315.4,315.05,315.05,11034.0
315.05,315.4,314.8,315.2,29437.0
315.2,315.3,314.95,314.95,11624.0
314.95,315.0,314.7,314.7,11389.0
314.7,314.8,314.55,314.6,11407.0
314.6,314.85,314.55,314.55,4075.0
