open,high,low,close,volume
996.65,998.6,982.6,985.15,2445.0
983.9,986.35,977.55,986.35,1492.0
986.35,990.0,985.3,990.0,630.0
990.0,990.0,987.0,989.9,285.0
989.9,989.9,987.25,988.0,395.0
988.0,988.0,986.25,986.25,317.0
986.25,988.1,983.6,984.0,1463.0
984.0,987.75,984.0,986.75,504.0
986.75,986.75,982.05,984.05,1395.0
984.05,985.0,984.0,985.0,336.0
983.0,984.65,982.35,982.45,266.0
982.45,984.7,982.45,982.6,83.0
982.6,984.4,980.0,981.85,682.0
981.85,982.1,981.0,981.0,94.0
981.0,982.1,981.0,981.1,877.0
981.1,983.0,981.1,982.95,883.0
982.95,984.35,982.95,984.35,43.0
984.35,984.95,982.95,982.95,329.0
982.95,984.55,982.95,983.05,77.0
983.05,985.0,983.05,984.55,235.0
984.55,985.0,984.0,984.0,3407.0
984.0,985.0,984.0,985.0,98.0
985.0,985.0,980.0,982.0,464.0
982.0,984.55,982.0,984.55,60.0
984.55,984.55,982.75,982.75,37.0
982.75,984.0,982.75,984.0,121.0
984.0,984.0,982.15,982.15,20.0
983.85,983.85,983.85,983.85,52.0
983.85,984.65,983.8,984.65,310.0
984.65,984.7,984.65,984.7,100.0
984.7,984.75,984.7,984.75,30.0
984.75,984.75,984.75,984.75,100.0
984.75,984.75,982.85,982.85,5.0
982.85,984.75,982.85,984.6,111.0
984.6,984.65,982.9,983.3,132.0
983.3,985.0,983.3,985.0,146.0
985.0,990.0,985.0,988.6,2073.0
990.0,990.0,989.85,989.85,150.0
989.85,989.85,986.9,986.9,31.0
986.9,989.1,986.9,988.35,81.0
988.9,989.55,987.25,988.95,41.0
988.95,988.95,987.4,987.4,1.0
987.4,988.1,987.4,988.1,11.0
988.1,988.1,974.55,974.55,3007.0
974.55,979.55,974.55,978.45,636.0
980.05,981.65,978.45,978.85,381.0
978.85,980.75,978.85,980.75,147.0
980.75,981.0,980.75,981.0,61.0
980.0,981.7,980.0,981.7,159.0
981.7,981.85,980.2,981.85,563.0
981.85,981.85,981.15,981.85,36.0
982.25,982.4,979.55,979.55,308.0
981.4,981.95,981.35,981.95,36.0
981.95,982.0,981.95,982.0,114.0
982.0,982.0,981.65,981.65,16.0
981.65,985.0,981.55,983.05,797.0
983.05,984.6,978.45,978.45,687.0
981.1,982.0,980.0,981.55,1606.0
981.55,983.25,980.1,980.1,133.0
980.1,980.1,980.1,980.1,0.0
980.1,982.2,980.1,982.2,67.0
982.2,982.2,982.2,982.2,11.0
982.2,982.2,982.0,982.2,49.0
982.2,982.2,980.15,980.9,354.0
980.9,980.9,980.55,980.55,127.0
981.35,982.0,981.3,981.85,365.0
981.85,983.15,981.85,983.1,118.0
983.1,983.1,983.1,983.1,265.0
