open,high,low,close,volume
192.0,193.4,191.4,192.74,285538.0
192.75,193.1,192.5,192.72,124341.0
192.71,192.72,192.23,192.41,82411.0
192.42,192.57,192.12,192.21,102965.0
192.21,192.59,192.12,192.27,91228.0
192.27,192.53,191.8,192.23,128964.0
192.23,192.36,192.16,192.26,57006.0
192.26,192.45,191.95,192.19,56624.0
192.19,192.31,191.71,192.15,80235.0
192.15,192.16,192.0,192.05,31415.0
192.05,192.19,191.96,192.1,64224.0
192.1,192.45,192.08,192.33,70725.0
192.33,192.38,192.2,192.2,24029.0
192.2,193.25,192.01,193.25,165520.0
193.4,193.4,193.0,193.13,223732.0
193.14,193.8,193.12,193.29,347851.0
193.29,195.5,193.08,195.24,864796.0
195.25,197.6,195.11,196.12,1509140.0
196.27,196.3,194.21,194.79,614798.0
194.71,195.02,194.53,194.7,238869.0
194.56,194.71,194.0,194.12,525534.0
194.03,194.38,193.79,194.12,304696.0
194.12,194.27,193.73,193.81,144760.0
193.84,194.1,193.6,193.83,135022.0
193.84,194.35,193.76,194.25,99476.0
194.3,194.3,193.76,194.02,113222.0
194.01,194.07,193.15,193.23,199702.0
193.22,193.4,193.18,193.33,74641.0
193.33,193.35,193.02,193.06,87755.0
193.12,193.3,193.02,193.25,48866.0
193.25,193.3,192.89,193.19,200573.0
193.19,193.48,193.0,193.48,103788.0
193.48,194.58,193.45,194.45,156097.0
194.47,194.81,194.43,194.58,135606.0
194.58,194.81,194.5,194.68,108996.0
194.68,195.0,194.6,194.89,324759.0
194.83,195.11,194.74,194.92,138456.0
194.93,195.0,194.68,194.86,102949.0
194.86,194.95,194.6,194.68,74025.0
194.68,194.82,194.51,194.66,77939.0
194.66,194.8,194.3,194.41,80300.0
194.41,194.5,194.18,194.3,58198.0
194.29,194.48,194.13,194.23,66858.0
194.23,194.28,194.04,194.1,64642.0
194.1,194.25,194.06,194.13,52877.0
194.12,194.44,194.12,194.16,34010.0
194.15,194.28,194.15,194.21,42202.0
194.21,194.4,194.19,194.22,42506.0
194.21,194.26,194.01,194.13,137756.0
194.13,194.25,194.04,194.11,49055.0
194.1,194.3,194.0,194.13,71887.0
194.1,194.29,194.0,194.17,36230.0
194.17,194.8,194.09,194.5,88926.0
194.5,194.8,194.5,194.58,80948.0
194.58,194.67,194.51,194.55,75874.0
194.54,194.7,194.5,194.55,52629.0
194.55,194.67,194.5,194.54,52105.0
194.53,194.85,194.53,194.82,137037.0
194.89,195.0,194.75,194.94,431588.0
194.92,195.24,194.78,194.88,499154.0
194.87,194.96,194.7,194.72,96496.0
194.74,194.96,194.72,194.83,97834.0
194.83,195.0,194.68,194.68,219794.0
194.68,194.87,194.51,194.62,114392.0
194.61,194.85,194.43,194.43,100907.0
194.43,194.57,194.05,194.24,209182.0
194.24,194.4,194.12,194.34,102284.0
194.35,194.4,194.27,194.31,64910.0
