open,high,low,close,volume
410.5,413.65,404.85,410.6,906413.0
410.35,410.7,408.6,409.6,277215.0
409.65,410.5,407.6,410.5,514106.0
410.25,410.4,407.7,408.75,303320.0
408.9,408.95,408.0,408.5,100755.0
408.4,408.5,406.5,407.65,194262.0
407.7,408.4,407.2,407.4,105667.0
407.4,409.45,406.6,409.45,197519.0
409.4,409.85,407.2,408.05,144493.0
408.25,408.25,407.45,407.95,75918.0
407.95,408.9,407.6,408.9,93678.0
408.75,410.1,408.35,408.9,240138.0
408.8,408.9,408.1,408.25,33557.0
408.35,408.85,408.1,408.85,26395.0
408.85,409.6,408.3,409.5,91874.0
409.35,409.4,408.7,408.9,31413.0
408.9,410.05,408.9,409.8,131724.0
409.8,409.85,409.1,409.35,36375.0
409.35,410.2,409.15,409.15,76630.0
409.3,409.75,409.0,409.5,26926.0
409.5,409.5,409.0,409.4,36413.0
409.4,410.45,409.2,410.2,119972.0
410.15,410.85,410.1,410.65,107763.0
410.7,411.45,410.6,410.6,104218.0
410.75,411.5,410.1,411.2,110918.0
411.2,412.35,411.1,411.7,147659.0
411.7,412.1,411.05,411.2,80215.0
411.2,411.35,410.55,410.95,86411.0
410.95,411.0,410.55,410.75,54194.0
410.75,410.95,409.3,409.4,147255.0
409.5,410.0,407.55,407.85,230436.0
407.7,407.85,406.85,407.05,189775.0
407.05,407.5,406.85,407.5,103916.0
407.35,408.0,407.35,407.65,89663.0
407.75,407.8,407.4,407.5,116725.0
407.5,408.0,407.4,407.4,49695.0
407.4,407.9,407.4,407.65,38588.0
407.65,407.8,405.55,405.95,214860.0
405.95,406.2,405.85,405.95,54538.0
405.95,406.3,405.6,405.9,75807.0
405.9,406.15,404.1,404.3,175772.0
404.2,404.5,402.55,403.6,161986.0
403.6,404.9,403.55,403.9,159533.0
403.9,405.1,403.9,404.9,85054.0
404.8,405.5,404.6,404.9,79277.0
404.9,405.1,404.7,404.9,51498.0
404.7,404.9,403.8,404.6,122093.0
404.6,404.85,404.55,404.8,31621.0
404.7,406.0,404.65,405.55,78386.0
405.55,406.25,405.0,405.05,160962.0
405.05,405.45,404.75,405.0,95845.0
405.2,405.2,404.05,404.6,83716.0
404.55,405.1,404.4,404.7,44903.0
404.7,405.0,404.6,404.6,30506.0
404.6,404.75,403.9,404.15,77105.0
404.15,404.7,404.15,404.7,34801.0
404.7,404.8,404.4,404.75,40068.0
404.75,404.9,404.6,404.7,28121.0
404.65,404.85,404.25,404.5,143819.0
404.5,404.55,404.25,404.55,20133.0
404.5,404.85,404.4,404.75,37639.0
404.8,404.9,404.4,404.45,47231.0
404.45,404.85,404.4,404.7,70526.0
404.65,404.8,404.35,404.6,52737.0
404.6,404.6,404.5,404.55,50546.0
404.6,404.65,403.95,404.25,197287.0
404.1,404.25,403.95,404.0,76694.0
404.05,404.3,404.0,404.1,57277.0
404.1,404.3,402.05,402.3,463546.0
402.25,402.5,401.1,401.5,228272.0
401.5,401.55,400.0,400.5,406454.0
400.5,401.45,400.1,400.95,273453.0
