open,high,low,close,volume
1041.1,1053.0,1041.1,1045.3,251.0
1044.4,1044.4,1041.8,1041.8,187.0
1041.8,1043.0,1041.8,1042.1,33.0
1042.1,1043.6,1037.7,1040.8,222.0
1040.8,1040.8,1039.6,1040.8,11.0
1040.8,1041.6,1034.8,1038.7,1095.0
1038.7,1040.0,1038.0,1040.0,159.0
1040.0,1042.9,1040.0,1040.4,226.0
1040.4,1041.0,1040.0,1040.0,380.0
1040.0,1040.5,1040.0,1040.0,100.0
1040.0,1041.2,1040.0,1040.0,71.0
1040.0,1040.6,1040.0,1040.0,51.0
1040.0,1041.2,1040.0,1040.7,85.0
1040.8,1040.8,1040.0,1040.0,315.0
1040.0,1041.1,1040.0,1040.0,67.0
1041.0,1041.0,1040.1,1040.1,42.0
1040.1,1043.0,1040.1,1042.8,574.0
1042.2,1042.2,1041.3,1041.3,91.0
1041.3,1041.3,1040.5,1041.0,240.0
1041.0,1044.8,1041.0,1043.8,552.0
1043.8,1043.8,1042.7,1042.7,2.0
1042.7,1042.7,1040.1,1040.9,368.0
1040.9,1040.9,1039.8,1040.1,797.0
1040.1,1040.1,1039.2,1039.2,62.0
1039.2,1040.0,1038.9,1040.0,146.0
1040.0,1040.0,1040.0,1040.0,41.0
1040.0,1041.1,1040.0,1041.1,1.0
1041.1,1041.1,1040.5,1040.5,1.0
1040.5,1040.5,1039.0,1040.0,51.0
1040.0,1040.0,1038.8,1039.5,135.0
1040.6,1040.6,1039.1,1040.0,42.0
1040.1,1040.1,1040.1,1040.1,11.0
1040.1,1041.8,1039.2,1040.4,221.0
1040.4,1042.1,1040.1,1040.1,105.0
1040.1,1040.5,1038.6,1040.1,101.0
1040.1,1042.5,1040.0,1042.5,86.0
1042.5,1042.5,1040.0,1041.4,72.0
1041.4,1042.1,1041.4,1042.1,7.0
1042.1,1044.9,1042.1,1042.4,438.0
1042.4,1043.5,1041.9,1041.9,50.0
1041.9,1042.8,1041.6,1042.8,21.0
1042.8,1042.8,1042.8,1042.8,0.0
1042.8,1042.8,1040.1,1040.1,22.0
1040.1,1041.6,1040.1,1041.6,12.0
1041.6,1042.1,1040.1,1040.1,130.0
1040.1,1041.9,1040.1,1040.2,13.0
1040.2,1040.2,1040.1,1040.1,12.0
1040.1,1040.1,1038.1,1038.1,188.0
1038.1,1038.1,1038.1,1038.1,0.0
1038.1,1038.5,1038.1,1038.5,19.0
1040.5,1040.5,1040.5,1040.5,10.0
1040.5,1041.0,1038.6,1038.7,72.0
1038.7,1040.5,1038.7,1040.5,1.0
1040.5,1042.1,1040.5,1042.1,205.0
1042.1,1042.1,1042.1,1042.1,100.0
1042.1,1046.3,1042.1,1046.3,54.0
1046.3,1046.3,1046.3,1046.3,0.0
1046.3,1046.3,1044.1,1045.6,29.0
1045.6,1045.6,1044.0,1044.0,12.0
1044.0,1044.5,1044.0,1044.5,14.0
1044.5,1044.5,1042.2,1042.8,20.0
1042.8,1043.4,1041.0,1043.4,96.0
1043.4,1043.4,1043.4,1043.4,0.0
1043.4,1043.4,1041.3,1043.0,33.0
1043.0,1043.0,1043.0,1043.0,0.0
1043.0,1043.9,1042.1,1043.9,113.0
1043.9,1043.9,1043.1,1043.1,3.0
1043.1,1043.1,1042.1,1042.1,52.0
