open,high,low,close,volume
93.75,97.92,93.75,96.46,108956.0
96.46,97.92,96.4,97.23,56706.0
97.23,97.64,96.85,96.85,40309.0
96.85,97.2,96.8,97.01,7203.0
97.02,97.02,96.7,96.86,9882.0
96.86,97.05,96.72,97.05,7528.0
97.05,97.05,96.78,96.78,5612.0
96.78,96.92,96.69,96.92,1654.0
96.92,96.92,96.76,96.87,1834.0
96.87,96.87,96.17,96.47,14630.0
96.47,96.74,96.47,96.74,2607.0
96.66,96.71,96.55,96.55,1093.0
96.55,96.75,96.55,96.55,2217.0
96.55,96.75,96.55,96.75,202.0
96.75,96.76,96.57,96.74,1053.0
96.74,96.74,96.67,96.68,334.0
96.68,96.8,96.59,96.59,2951.0
96.59,96.77,96.59,96.73,1751.0
96.67,96.7,96.57,96.6,950.0
96.6,96.7,96.58,96.7,735.0
96.7,96.7,96.55,96.55,1328.0
96.55,96.69,96.55,96.59,216.0
96.59,96.59,96.5,96.5,1094.0
96.5,96.58,96.46,96.46,369.0
96.46,96.47,96.45,96.46,446.0
96.46,96.59,96.46,96.59,126.0
96.59,96.59,96.46,96.5,871.0
96.5,96.5,96.45,96.5,440.0
96.5,96.5,96.31,96.4,4555.0
96.4,96.48,96.38,96.38,570.0
96.38,96.45,96.38,96.45,312.0
96.42,96.6,96.41,96.6,7320.0
96.6,96.79,96.6,96.72,2558.0
96.72,96.79,96.72,96.72,675.0
96.72,96.72,96.54,96.54,1342.0
96.54,96.69,96.54,96.69,301.0
96.69,96.79,96.56,96.72,3539.0
96.7,96.7,96.58,96.59,136.0
96.59,96.59,96.59,96.59,110.0
96.59,96.6,96.58,96.6,134.0
96.6,96.6,96.49,96.49,278.0
96.49,96.49,96.43,96.49,130.0
96.44,96.44,96.43,96.43,163.0
96.43,96.44,96.43,96.44,55.0
96.44,96.44,96.44,96.44,1024.0
96.44,96.59,96.41,96.48,3682.0
96.48,96.6,96.41,96.6,2069.0
96.6,96.6,96.43,96.43,740.0
96.43,96.7,96.43,96.7,3922.0
96.7,96.7,96.55,96.55,422.0
96.53,96.68,96.31,96.4,6947.0
96.4,96.47,96.4,96.47,1.0
96.47,96.48,96.47,96.48,10.0
96.51,96.51,96.45,96.45,225.0
96.45,96.5,96.45,96.45,293.0
96.45,96.5,96.45,96.5,416.0
96.5,96.5,96.5,96.5,78.0
96.47,96.48,96.31,96.31,2383.0
96.31,96.42,96.31,96.33,521.0
96.31,96.31,96.31,96.31,387.0
96.31,96.42,96.31,96.31,1253.0
96.31,96.44,96.31,96.38,455.0
96.38,96.48,96.38,96.42,456.0
96.42,96.95,96.35,96.95,20359.0
96.95,96.95,96.61,96.61,2117.0
96.7,96.71,96.47,96.65,3483.0
96.65,96.65,96.42,96.63,2400.0
96.63,96.63,96.5,96.62,325.0
