open,high,low,close,volume
481.8,486.9,481.65,482.7,26528.0
482.7,485.65,482.3,484.55,30375.0
484.15,484.25,483.0,483.35,4308.0
483.35,485.9,483.25,485.05,11312.0
485.05,485.9,485.05,485.75,2259.0
485.75,487.3,485.1,487.0,22941.0
487.0,487.65,485.1,487.2,22292.0
487.2,488.0,486.5,487.1,19328.0
487.1,487.65,485.65,485.85,7572.0
485.85,485.85,485.35,485.7,1777.0
485.7,485.7,484.45,485.15,5830.0
485.15,486.45,484.7,485.85,6380.0
485.85,485.85,485.2,485.6,1014.0
485.6,486.6,485.25,486.3,10367.0
486.3,486.55,485.6,485.6,6703.0
485.6,488.1,485.6,488.1,10292.0
488.25,489.8,487.2,487.3,13171.0
487.3,488.0,487.3,487.6,2369.0
487.6,487.9,487.25,487.85,2143.0
487.85,487.85,487.1,487.55,4531.0
487.8,487.85,487.15,487.55,7878.0
487.55,487.75,486.95,487.6,16790.0
487.6,489.5,487.25,488.9,21361.0
488.9,489.5,488.9,489.15,10219.0
489.15,489.5,488.65,488.85,5065.0
488.85,489.4,488.35,488.8,7138.0
488.8,489.35,488.3,489.2,7360.0
489.2,489.35,488.3,489.25,6431.0
489.25,489.35,488.8,489.0,3291.0
489.0,489.0,488.15,488.55,3887.0
488.55,488.55,488.05,488.3,2204.0
488.3,488.5,488.0,488.25,6820.0
488.25,488.5,488.1,488.45,1990.0
488.45,489.1,488.35,489.1,9332.0
489.1,489.2,488.8,488.95,1983.0
488.7,489.5,488.45,489.45,7155.0
489.45,489.5,489.0,489.5,4686.0
489.2,489.5,489.0,489.35,2356.0
489.35,489.5,489.05,489.25,4285.0
489.25,489.5,489.05,489.45,2630.0
489.45,489.5,489.05,489.35,2537.0
489.35,489.5,489.05,489.25,5400.0
489.25,489.55,489.0,489.3,8038.0
489.3,489.75,488.8,489.6,18970.0
489.6,489.8,488.7,489.8,9581.0
489.8,491.0,488.65,490.05,51568.0
490.05,490.1,489.5,489.85,2873.0
489.85,490.0,488.5,489.7,12145.0
489.7,491.0,489.05,490.65,14779.0
491.0,492.0,489.85,490.5,35840.0
490.5,490.6,487.55,488.1,40194.0
488.1,489.55,487.9,489.45,10523.0
488.8,489.85,488.75,489.75,9454.0
489.75,489.85,489.2,489.3,6234.0
489.3,490.75,489.0,490.5,14555.0
490.5,491.85,490.0,491.6,21151.0
491.6,492.0,490.9,491.3,25181.0
491.3,491.35,490.05,491.3,25636.0
491.3,491.8,491.0,491.5,20338.0
491.5,497.0,491.35,496.3,232692.0
496.5,498.55,494.65,496.35,242784.0
496.35,500.0,496.1,498.9,174877.0
498.9,498.9,497.0,497.05,56331.0
497.05,497.7,495.35,497.2,40083.0
497.2,498.15,496.1,497.05,56836.0
497.05,497.5,496.55,497.0,40607.0
497.0,497.45,496.05,497.4,27189.0
497.45,498.5,497.2,498.4,62737.0
498.5,499.85,497.9,499.75,108295.0
499.5,502.0,499.5,502.0,174130.0
502.0,502.5,501.1,502.5,113867.0
502.5,505.0,502.3,503.45,175254.0
503.4,504.4,502.65,504.25,55270.0
504.05,504.75,503.0,504.3,83060.0
504.3,504.5,503.0,503.8,33413.0
