open,high,low,close,volume
1190.0,1192.0,1161.5,1187.9,15416.0
1187.9,1198.0,1185.0,1189.0,6328.0
1189.0,1191.5,1186.3,1190.5,4916.0
1190.0,1194.0,1188.7,1192.5,2209.0
1192.5,1194.9,1191.1,1191.7,2173.0
1191.7,1203.3,1191.7,1201.9,15968.0
1201.9,1206.9,1201.2,1201.8,10990.0
1201.8,1205.5,1200.0,1200.1,7177.0
1200.1,1201.4,1198.0,1198.0,3820.0
1198.0,1198.8,1196.0,1198.8,5599.0
1198.8,1199.9,1196.5,1198.3,1936.0
1198.3,1198.6,1196.3,1196.9,1132.0
1196.9,1197.5,1194.6,1197.5,1300.0
1197.5,1197.5,1195.3,1195.6,179.0
1195.6,1195.6,1193.7,1194.0,1604.0
1194.0,1194.0,1188.3,1189.1,3761.0
1189.6,1189.7,1187.5,1188.3,3744.0
1188.3,1192.1,1188.3,1191.8,879.0
1191.8,1192.1,1190.9,1190.9,543.0
1190.9,1191.4,1178.0,1179.0,5936.0
1179.0,1181.2,1179.0,1179.5,2099.0
1179.5,1180.9,1177.0,1177.6,2919.0
1177.6,1178.2,1175.5,1176.5,2705.0
1176.5,1177.9,1173.3,1173.8,3437.0
1173.8,1175.9,1173.0,1174.0,1545.0
1174.2,1178.0,1174.0,1175.3,1447.0
1175.3,1176.7,1175.1,1175.2,457.0
1175.2,1175.9,1174.6,1175.6,1360.0
1175.4,1179.3,1174.6,1177.0,3358.0
1177.0,1179.2,1176.9,1178.2,3492.0
1178.2,1179.0,1175.8,1175.8,2799.0
1175.0,1175.9,1173.9,1175.4,1148.0
1175.4,1176.3,1172.9,1176.1,1159.0
1176.1,1176.1,1173.5,1174.6,1218.0
1174.6,1176.1,1172.3,1173.0,1923.0
1173.0,1176.4,1173.0,1176.0,1194.0
1176.0,1177.0,1174.9,1175.2,551.0
1175.2,1175.9,1174.0,1174.0,1177.0
1174.0,1174.2,1172.7,1172.7,1544.0
1173.5,1173.9,1172.0,1173.0,1445.0
1173.0,1177.7,1172.4,1174.4,1368.0
1174.4,1174.6,1172.2,1172.3,203.0
1172.3,1174.0,1172.3,1173.0,1090.0
1173.6,1174.9,1172.8,1174.7,856.0
1174.7,1175.5,1173.9,1175.3,1381.0
1175.3,1175.4,1172.8,1172.9,508.0
1172.9,1174.1,1172.8,1172.8,442.0
1172.8,1174.6,1172.1,1173.8,929.0
1173.8,1176.4,1173.8,1175.5,1540.0
1175.5,1175.5,1174.0,1174.0,2009.0
1174.0,1175.3,1173.3,1173.8,1510.0
1173.8,1175.1,1173.8,1174.9,220.0
1174.0,1175.0,1173.2,1173.6,1407.0
1173.6,1174.1,1173.3,1173.3,393.0
1173.3,1174.8,1173.3,1173.7,686.0
1173.7,1175.0,1173.7,1174.1,1599.0
1174.1,1174.7,1174.1,1174.1,952.0
1176.0,1185.0,1175.9,1184.0,15389.0
1184.0,1185.0,1181.0,1183.1,4210.0
1183.1,1183.1,1180.9,1181.5,1453.0
1181.5,1183.0,1181.5,1182.8,937.0
1182.8,1183.4,1182.3,1182.5,1118.0
1184.1,1184.1,1182.2,1182.9,1244.0
1182.9,1190.0,1182.9,1184.0,14338.0
1184.0,1184.8,1183.1,1183.1,1354.0
1183.1,1184.1,1178.0,1178.9,5607.0
1178.9,1178.9,1168.4,1169.2,16794.0
1169.2,1171.0,1167.5,1168.1,4128.0
