open,high,low,close,volume
419.7,425.7,417.95,424.55,18863.0
424.55,430.0,424.55,426.05,28241.0
426.35,426.6,425.0,425.85,5619.0
425.85,426.55,425.2,426.1,6052.0
426.1,426.8,424.1,424.6,4653.0
424.6,424.6,422.55,422.7,9558.0
422.65,424.95,422.5,424.0,32671.0
424.0,424.4,423.75,424.2,408.0
423.9,423.9,423.5,423.55,642.0
423.55,424.05,423.55,424.05,1261.0
424.2,424.5,423.8,424.5,887.0
424.65,425.0,424.1,424.2,2316.0
424.2,424.5,423.6,424.1,619.0
424.1,424.2,423.5,423.5,509.0
423.5,424.85,423.5,424.0,759.0
424.0,424.0,423.2,423.4,3252.0
423.3,423.7,422.6,422.6,1705.0
422.6,423.55,422.6,423.05,1271.0
423.15,423.6,423.0,423.6,347.0
423.15,423.4,423.05,423.4,528.0
423.4,423.9,423.4,423.85,640.0
423.85,424.55,422.8,423.55,6056.0
424.2,424.2,423.6,424.1,221.0
423.7,424.5,423.6,423.6,373.0
423.6,423.6,422.85,422.95,308.0
422.95,423.5,421.3,421.5,15507.0
421.5,422.15,421.5,422.15,476.0
422.25,422.4,421.85,422.4,635.0
422.2,422.3,421.45,421.95,2395.0
421.95,421.95,421.25,421.35,419.0
421.35,422.7,421.35,422.5,1123.0
422.5,422.5,421.9,422.45,686.0
422.2,422.65,421.9,422.0,1429.0
422.0,422.35,421.5,421.5,2095.0
421.5,422.5,421.5,422.5,273.0
422.5,422.6,420.95,421.9,6368.0
421.9,422.25,421.0,421.05,1156.0
421.05,421.4,420.25,420.4,1841.0
420.75,421.0,420.6,420.65,587.0
420.65,420.9,417.7,418.5,9855.0
418.5,419.8,418.5,419.25,11103.0
419.25,420.65,419.25,420.15,3412.0
420.15,420.15,419.7,419.75,364.0
419.75,419.75,417.85,418.1,5326.0
418.1,418.7,417.8,418.0,11615.0
418.0,418.0,416.05,417.4,3989.0
417.4,417.6,417.1,417.15,540.0
417.5,417.8,416.5,417.0,2644.0
417.0,417.55,416.75,417.0,1863.0
417.0,417.5,417.0,417.15,435.0
417.15,417.55,417.15,417.2,933.0
417.2,417.4,416.85,417.15,389.0
417.4,419.0,417.15,418.85,2854.0
418.85,418.85,418.0,418.15,2131.0
418.15,420.0,418.15,419.85,3500.0
419.85,420.0,419.05,419.2,2021.0
419.4,419.9,419.05,419.8,2529.0
419.8,419.8,419.35,419.4,914.0
419.4,419.85,419.1,419.6,1313.0
419.6,419.95,419.5,419.7,3416.0
419.7,420.0,419.65,419.65,446.0
419.65,421.55,419.65,421.15,10700.0
421.0,421.35,420.5,420.5,1575.0
420.85,420.85,419.8,420.45,2372.0
420.45,420.5,419.15,419.55,1850.0
419.55,419.55,419.05,419.25,375.0
419.25,419.55,418.15,418.2,1303.0
418.2,418.2,417.3,417.4,2542.0
