open,high,low,close,volume
518.7,520.0,512.75,515.3,20707.0
515.3,516.95,515.05,515.15,5427.0
515.15,515.8,514.2,515.45,3306.0
514.85,515.75,514.55,515.2,3656.0
515.75,515.75,514.65,515.3,2248.0
515.3,515.6,515.2,515.35,2219.0
515.35,517.65,515.35,516.8,16983.0
516.8,516.8,514.0,514.9,3516.0
514.9,515.0,514.0,514.6,3198.0
515.0,515.2,514.55,514.55,1256.0
514.55,515.8,514.55,515.05,1077.0
515.05,515.6,514.0,514.45,2672.0
514.45,514.5,513.9,513.9,1748.0
513.9,514.65,513.9,514.0,1208.0
514.0,514.45,513.1,513.35,5258.0
513.6,513.6,513.0,513.55,1190.0
513.8,514.6,513.3,514.05,1165.0
514.05,514.7,513.7,514.1,2191.0
514.1,514.6,514.1,514.4,312.0
514.4,514.4,513.7,513.9,2974.0
513.9,514.15,513.9,514.0,384.0
514.0,514.35,513.9,514.25,408.0
514.25,514.25,513.7,513.85,2447.0
513.85,514.25,513.85,514.0,143.0
514.0,514.2,513.7,514.0,233.0
514.0,514.4,513.75,514.0,269.0
514.25,514.45,514.0,514.1,335.0
514.1,514.65,513.75,513.9,1320.0
513.9,514.45,513.9,514.35,840.0
514.35,514.35,514.0,514.05,818.0
514.35,514.35,514.05,514.1,105.0
514.1,515.05,514.1,514.3,1540.0
514.3,514.9,514.3,514.5,123.0
514.8,515.75,514.5,515.4,1918.0
515.4,515.45,514.5,514.85,710.0
514.85,515.1,514.5,514.9,111.0
514.9,514.95,514.5,514.55,280.0
514.55,515.15,514.55,514.65,268.0
514.7,515.1,514.5,514.55,557.0
514.55,515.05,514.55,514.6,874.0
514.6,514.6,514.3,514.3,649.0
514.35,514.75,514.3,514.3,520.0
514.3,514.3,513.5,514.0,3686.0
513.95,514.25,513.75,513.75,232.0
514.05,514.15,513.75,513.85,343.0
514.25,514.25,513.75,513.8,126.0
513.8,514.1,513.0,513.1,1972.0
513.1,513.25,513.05,513.05,184.0
513.05,513.45,513.05,513.45,755.0
513.45,513.9,513.2,513.45,792.0
513.45,513.8,513.25,513.3,199.0
513.3,513.95,513.3,513.9,209.0
513.9,514.05,513.7,513.95,259.0
513.95,513.95,513.7,513.85,9.0
513.85,513.85,513.7,513.7,199.0
513.7,513.95,513.65,513.65,1774.0
513.65,514.0,513.65,513.65,227.0
513.65,513.95,513.5,513.6,307.0
513.6,513.65,513.2,513.2,1028.0
513.5,513.5,513.0,513.05,2287.0
513.05,513.85,513.05,513.55,1588.0
513.55,514.0,513.05,513.05,1100.0
513.55,513.85,513.05,513.3,1460.0
513.3,513.5,513.25,513.5,42.0
513.5,513.55,513.1,513.1,1415.0
513.1,513.35,513.1,513.1,424.0
513.1,513.9,513.1,513.55,624.0
513.55,513.85,513.15,513.35,1008.0
