open,high,low,close,volume
240.3,243.9,239.1,242.8,10241.0
242.8,244.0,242.05,242.95,5587.0
242.95,244.4,242.7,244.1,8443.0
244.1,244.95,243.7,244.35,2944.0
244.85,245.95,244.55,245.45,4806.0
245.45,245.85,245.05,245.4,3250.0
245.4,245.95,245.15,245.9,2347.0
245.9,246.0,244.1,244.7,5485.0
244.7,244.7,243.8,244.05,1126.0
244.05,244.25,243.9,244.0,1393.0
244.0,244.5,244.0,244.2,451.0
244.2,244.5,243.85,244.2,787.0
244.2,244.4,243.3,243.8,2435.0
243.8,243.95,243.15,243.75,4412.0
243.75,243.75,243.15,243.4,3147.0
243.4,243.7,243.1,243.4,2085.0
243.4,243.7,243.25,243.25,3274.0
243.25,243.7,243.25,243.45,562.0
243.45,243.75,243.15,243.75,1168.0
243.75,243.9,243.45,243.75,487.0
243.75,243.9,243.5,243.75,423.0
243.75,244.05,243.75,244.0,192.0
244.0,244.0,243.75,243.75,242.0
243.75,244.1,243.6,243.75,168.0
243.75,244.4,243.7,244.4,536.0
244.4,244.5,243.9,244.3,938.0
244.3,244.6,244.25,244.6,464.0
244.6,244.75,244.25,244.25,321.0
244.25,244.9,244.25,244.55,145.0
244.55,244.95,244.4,244.95,326.0
244.95,245.0,244.55,244.65,236.0
244.65,244.85,243.65,244.45,4988.0
244.45,245.45,244.45,245.45,781.0
245.45,245.45,244.1,244.5,6393.0
244.5,244.85,244.1,244.65,1195.0
244.65,244.7,244.55,244.6,39.0
244.6,245.0,244.35,245.0,1887.0
244.95,245.2,244.6,245.2,997.0
245.2,245.2,243.95,244.45,476.0
244.45,244.9,243.85,244.15,4901.0
244.15,244.65,244.1,244.15,683.0
244.15,244.5,244.15,244.45,137.0
244.45,244.55,243.85,244.4,770.0
244.4,244.65,244.2,244.2,145.0
244.2,244.45,244.2,244.2,223.0
244.2,244.6,243.95,244.2,1172.0
244.2,244.5,244.2,244.3,223.0
244.3,244.45,244.15,244.25,185.0
244.25,244.45,244.25,244.45,236.0
244.45,244.45,244.2,244.25,597.0
244.25,244.45,243.95,244.15,160.0
244.15,244.45,244.1,244.15,283.0
244.15,244.65,244.15,244.3,1308.0
244.3,244.7,244.3,244.4,142.0
244.4,244.8,244.35,244.35,281.0
244.35,244.95,244.2,244.95,378.0
244.95,244.95,244.6,244.65,312.0
244.6,244.65,244.3,244.4,293.0
244.4,244.55,244.0,244.15,1137.0
244.15,244.15,243.7,243.7,262.0
243.7,244.85,243.45,244.55,1920.0
244.6,245.5,244.35,245.3,6828.0
244.4,244.6,243.8,243.9,4317.0
243.9,244.2,243.6,243.85,582.0
243.85,244.0,243.5,243.55,240.0
243.55,243.6,242.55,243.05,9676.0
243.05,243.15,242.75,242.9,1155.0
242.9,243.0,242.75,242.8,384.0
