open,high,low,close,volume
230.0,230.9,229.5,229.52,123331.0
229.52,229.96,229.2,229.85,46604.0
229.85,230.0,229.35,229.66,57381.0
229.66,229.78,229.25,229.64,38788.0
229.64,229.64,229.27,229.45,28812.0
229.45,230.19,229.45,229.81,62878.0
229.81,229.94,229.26,229.4,45100.0
229.4,229.64,229.08,229.23,40542.0
229.23,229.39,229.01,229.25,28682.0
229.25,229.46,229.07,229.34,16062.0
229.34,229.75,229.2,229.3,28397.0
229.3,229.3,228.8,229.08,64226.0
229.08,229.28,229.0,229.14,14185.0
229.14,229.14,228.9,229.09,12083.0
229.09,229.2,228.9,229.0,21207.0
229.0,229.06,228.91,229.0,14206.0
229.0,229.14,228.93,229.0,31984.0
229.0,229.11,228.57,229.02,115230.0
229.02,229.03,228.7,228.97,39086.0
228.97,229.09,228.81,229.0,7991.0
229.03,229.03,228.85,228.95,9056.0
228.95,229.0,228.7,228.7,11619.0
228.7,228.85,228.55,228.77,16335.0
228.77,228.8,228.63,228.64,9789.0
228.64,228.7,228.63,228.65,9773.0
228.65,228.8,228.6,228.75,27797.0
228.75,228.91,228.56,228.86,9580.0
228.86,229.1,228.77,228.81,82712.0
228.86,228.95,228.72,228.94,10319.0
228.95,229.1,228.91,229.03,7655.0
229.03,229.04,228.5,228.65,26751.0
228.65,228.8,228.5,228.79,19554.0
228.79,228.87,228.55,228.87,16172.0
228.87,229.3,228.81,229.15,26564.0
229.17,229.21,228.8,228.87,18595.0
228.87,228.9,228.6,228.76,41199.0
228.76,228.81,228.65,228.77,10851.0
228.77,228.82,228.5,228.61,19581.0
228.61,228.75,228.53,228.7,17738.0
228.7,228.7,227.89,228.14,115429.0
228.14,228.2,228.02,228.02,24164.0
228.02,228.41,228.02,228.05,19223.0
228.05,228.2,228.0,228.09,26380.0
228.09,228.19,228.0,228.16,15237.0
228.16,228.34,228.11,228.28,9337.0
228.28,228.41,228.17,228.2,9660.0
228.27,228.36,228.2,228.36,4350.0
228.35,228.38,228.2,228.3,5932.0
228.3,228.4,228.03,228.34,27197.0
228.34,228.41,228.2,228.29,8013.0
228.29,228.36,228.11,228.28,14155.0
228.28,228.3,228.08,228.15,15316.0
228.15,228.55,228.15,228.5,52496.0
228.5,228.71,228.5,228.69,21059.0
228.7,228.7,228.5,228.61,9980.0
228.63,228.71,228.56,228.6,16943.0
228.6,228.66,228.51,228.59,4015.0
228.59,228.6,228.5,228.53,4799.0
228.53,228.59,228.2,228.2,11502.0
228.2,228.39,228.13,228.24,8777.0
228.24,228.46,228.21,228.39,6362.0
228.3,228.6,228.3,228.49,20265.0
228.49,228.54,228.39,228.49,9531.0
228.49,228.58,228.41,228.48,8396.0
228.48,228.57,228.38,228.41,18032.0
228.36,228.56,228.17,228.26,45714.0
228.36,228.39,228.2,228.34,15820.0
228.34,228.48,228.3,228.47,7382.0
