open,high,low,close,volume
440.0,441.7,439.3,439.6,1206.0
439.6,440.1,438.8,439.4,2045.0
439.4,439.45,436.65,437.15,1184.0
437.15,438.65,437.15,438.25,1452.0
438.25,439.55,438.2,439.5,844.0
439.5,439.55,439.0,439.3,158.0
439.3,439.3,437.85,438.0,882.0
438.0,438.45,438.0,438.3,245.0
438.3,438.5,438.0,438.0,1173.0
438.0,438.2,435.0,436.15,16698.0
436.15,436.15,434.65,434.9,16573.0
434.9,436.0,434.2,435.0,49137.0
434.8,435.15,431.3,434.0,73082.0
434.0,434.95,432.0,432.85,63784.0
432.85,434.65,432.65,434.65,2586.0
434.65,434.65,434.15,434.6,346.0
434.6,434.65,433.8,433.8,696.0
433.8,434.4,433.8,434.4,68.0
434.5,434.5,434.2,434.2,469.0
434.2,434.2,430.1,430.95,19318.0
430.95,431.0,430.6,430.6,209.0
430.6,431.2,430.6,431.15,247.0
431.15,431.15,430.5,430.6,532.0
430.7,431.15,430.45,430.5,478.0
430.5,431.8,430.3,431.8,1130.0
431.7,433.05,431.7,432.8,519.0
432.8,433.85,432.8,433.85,1509.0
433.85,434.0,432.55,434.0,3727.0
433.55,434.0,431.95,431.95,1772.0
431.95,432.9,431.15,432.55,1176.0
432.55,433.85,432.55,433.85,786.0
433.85,433.95,433.25,433.95,1164.0
433.95,433.95,433.15,433.7,1290.0
433.7,433.7,432.4,433.65,4729.0
433.65,433.65,431.85,432.4,398.0
432.4,433.2,432.4,433.0,182.0
433.0,433.0,432.3,432.5,432.0
432.5,434.2,432.5,434.2,1612.0
434.2,434.25,433.75,434.0,383.0
434.0,434.0,433.7,433.7,214.0
433.7,435.0,433.7,435.0,3489.0
435.0,435.2,434.7,434.85,5157.0
434.0,434.85,433.9,434.0,8934.0
434.0,434.25,433.9,433.95,180.0
433.95,434.3,433.85,433.85,468.0
433.85,434.05,433.85,434.05,73.0
434.05,434.05,433.95,434.0,198.0
434.0,434.1,433.55,434.1,125.0
434.1,434.1,433.8,433.85,115.0
433.85,434.0,433.7,433.75,417.0
433.9,434.65,433.9,434.25,586.0
434.25,435.35,434.0,435.35,4670.0
435.35,435.35,433.5,434.5,1922.0
434.5,434.5,433.85,433.9,167.0
433.9,434.35,433.75,433.75,273.0
433.75,434.7,433.75,434.5,153.0
434.95,434.95,433.6,434.35,4123.0
434.35,434.4,433.15,434.2,846.0
434.2,435.0,433.4,434.45,14492.0
434.45,435.2,434.45,435.0,11212.0
435.0,435.2,435.0,435.1,54.0
435.1,435.25,435.05,435.25,319.0
435.25,435.25,435.2,435.25,70.0
435.25,435.25,434.75,435.0,361.0
435.0,435.0,435.0,435.0,478.0
435.0,435.55,434.5,434.8,23863.0
434.8,435.0,434.0,435.0,12178.0
435.0,435.05,433.7,433.9,4865.0
