open,high,low,close,volume
67.1,67.4,67.06,67.21,60314.0
67.21,67.32,67.2,67.25,14728.0
67.25,67.26,67.17,67.24,25366.0
67.24,67.24,67.11,67.21,16421.0
67.21,67.21,67.15,67.19,5217.0
67.19,67.2,67.15,67.2,7269.0
67.2,67.21,67.15,67.19,8746.0
67.19,67.21,67.13,67.13,15907.0
67.13,67.18,67.08,67.12,9226.0
67.12,67.14,67.01,67.13,34202.0
67.13,67.13,67.03,67.08,5019.0
67.08,67.14,67.05,67.1,7228.0
67.1,67.12,67.07,67.08,4195.0
67.08,67.12,66.94,67.0,53081.0
67.0,67.0,66.95,66.99,24056.0
66.99,66.99,66.91,66.95,13612.0
66.95,67.0,66.95,66.99,9658.0
66.99,67.0,66.93,66.96,4907.0
66.96,67.0,66.95,66.95,4947.0
66.95,67.0,66.95,66.96,18241.0
66.99,67.0,66.94,67.0,6509.0
67.0,67.0,66.97,66.97,11872.0
66.97,67.0,66.97,67.0,15175.0
67.0,67.0,66.97,67.0,7643.0
67.0,67.07,66.98,67.03,7761.0
67.07,67.1,67.02,67.06,6682.0
67.06,67.15,67.06,67.1,3907.0
67.1,67.14,67.06,67.14,23730.0
67.14,67.18,67.09,67.09,5498.0
67.09,67.12,67.07,67.11,2878.0
67.12,67.12,67.05,67.05,14888.0
67.05,67.05,67.0,67.04,9246.0
67.04,67.05,67.02,67.02,4284.0
67.02,67.16,67.02,67.16,47460.0
67.16,67.17,67.11,67.12,1416.0
67.12,67.17,67.02,67.06,10799.0
67.06,67.11,67.05,67.06,2628.0
67.1,67.15,67.05,67.11,10549.0
67.11,67.13,67.04,67.04,3483.0
67.04,67.09,67.02,67.04,6972.0
67.03,67.04,67.02,67.02,8723.0
67.02,67.04,67.02,67.04,4095.0
67.04,67.04,66.95,66.97,22206.0
67.0,67.05,67.0,67.05,7493.0
67.05,67.09,66.98,67.06,7349.0
67.01,67.06,67.01,67.03,7083.0
67.03,67.07,67.03,67.07,2217.0
67.07,67.08,67.03,67.06,1498.0
67.06,67.08,67.03,67.05,2159.0
67.05,67.07,67.04,67.04,2763.0
67.04,67.05,67.01,67.04,7829.0
67.04,67.05,67.0,67.04,7218.0
67.0,67.05,66.97,67.0,4063.0
67.0,67.04,67.0,67.01,2127.0
67.01,67.05,67.0,67.05,2432.0
67.05,67.06,67.0,67.05,5861.0
67.05,67.08,67.01,67.05,3828.0
67.05,67.06,67.01,67.05,3573.0
67.05,67.05,67.0,67.05,4365.0
67.05,67.06,67.02,67.06,2466.0
67.05,67.06,66.96,67.0,14781.0
67.0,67.07,67.0,67.07,2425.0
67.06,67.06,67.0,67.05,5856.0
67.05,67.09,67.0,67.09,9464.0
67.1,67.1,67.03,67.09,6392.0
67.09,67.1,67.02,67.09,9947.0
67.09,67.1,67.05,67.05,10746.0
67.05,67.1,67.05,67.09,11035.0
