open,high,low,close,volume
76.5,77.0,76.5,76.9,14487.0
76.52,77.18,76.26,76.77,35256.0
76.66,76.71,76.52,76.56,1649.0
76.73,76.74,76.17,76.47,841.0
76.47,76.47,76.47,76.47,1.0
76.47,76.47,76.47,76.47,0.0
76.47,76.56,76.47,76.56,448.0
76.56,76.56,76.56,76.56,0.0
76.56,76.56,76.54,76.54,13.0
76.54,76.54,76.31,76.4,579.0
76.4,76.41,76.4,76.41,3.0
76.41,76.53,76.34,76.46,595.0
76.46,76.46,76.46,76.46,0.0
76.46,76.46,76.45,76.45,50.0
76.32,76.48,76.32,76.48,6.0
76.48,76.48,76.29,76.29,109.0
76.29,76.47,76.24,76.24,189.0
76.24,76.24,76.24,76.24,0.0
76.24,76.24,76.21,76.21,100.0
76.21,76.54,76.21,76.47,315.0
76.84,76.84,76.41,76.41,1516.0
76.41,76.41,76.41,76.41,0.0
76.41,76.58,76.41,76.58,234.0
76.58,76.59,76.28,76.45,367.0
76.45,76.45,76.28,76.28,9.0
76.28,76.28,76.25,76.27,267.0
76.27,77.41,76.27,76.86,7527.0
76.86,77.09,76.86,77.02,203.0
77.02,77.41,77.02,77.41,199.0
77.41,77.49,77.01,77.49,1047.0
77.26,77.26,77.26,77.26,1787.0
77.26,77.49,77.26,77.33,11140.0
77.33,77.62,77.33,77.62,1693.0
77.62,77.62,77.45,77.45,10.0
77.45,77.45,77.44,77.44,50.0
77.44,77.65,77.44,77.65,418.0
77.65,77.65,77.65,77.65,10.0
77.65,77.65,77.56,77.56,262.0
77.56,77.56,77.56,77.56,0.0
77.56,77.82,77.31,77.82,784.0
77.82,77.82,77.82,77.82,0.0
77.82,78.0,77.82,78.0,1277.0
78.0,78.0,78.0,78.0,0.0
78.0,78.0,77.38,77.38,4961.0
77.38,77.38,77.38,77.38,0.0
77.38,77.62,77.38,77.62,3.0
77.62,77.62,77.62,77.62,0.0
77.62,77.62,77.34,77.34,190.0
77.34,77.63,77.34,77.63,400.0
77.63,77.72,77.63,77.72,400.0
77.72,77.72,77.72,77.72,0.0
77.4,77.4,77.06,77.21,488.0
77.21,77.21,77.04,77.04,99.0
77.04,77.04,77.02,77.02,140.0
77.02,77.33,77.02,77.33,166.0
77.5,77.5,77.5,77.5,10.0
77.5,77.5,77.33,77.33,39.0
77.33,77.33,77.27,77.27,134.0
77.27,77.27,77.27,77.27,0.0
77.27,77.27,77.27,77.27,0.0
77.27,77.44,77.1,77.1,5482.0
77.1,77.32,77.1,77.32,100.0
77.08,77.09,76.9,76.9,1577.0
76.9,76.91,76.9,76.9,54.0
76.9,76.9,76.81,76.81,2117.0
76.81,76.81,76.7,76.7,1367.0
76.7,76.7,76.7,76.7,80.0
76.7,76.7,76.7,76.7,0.0
