open,high,low,close,volume
583.8,586.3,581.05,584.9,13994.0
585.55,591.9,583.2,591.5,20472.0
591.5,593.9,588.95,588.95,16764.0
588.95,589.15,586.75,589.15,10083.0
589.15,590.4,589.05,590.05,4007.0
590.05,594.8,590.05,594.15,22968.0
594.15,599.8,593.95,598.6,34585.0
598.65,598.75,594.15,594.7,10633.0
594.65,595.2,593.5,594.3,7071.0
594.0,594.3,592.55,593.35,6947.0
593.35,593.8,592.55,592.55,2950.0
592.5,593.45,591.5,592.7,2797.0
593.05,593.4,591.9,592.05,4735.0
592.05,593.45,591.3,592.5,2708.0
592.5,592.55,591.3,591.5,2681.0
591.5,591.5,590.5,590.7,2571.0
590.7,591.15,590.5,590.85,966.0
590.85,591.4,590.15,591.05,1851.0
591.05,593.05,591.05,592.5,4120.0
592.15,594.0,592.15,592.15,1880.0
592.15,594.35,592.0,592.9,8984.0
593.45,593.5,592.45,592.45,1000.0
592.45,593.0,592.15,592.15,886.0
592.1,593.85,592.0,593.0,8192.0
593.0,593.0,592.1,592.65,933.0
592.65,593.05,592.15,592.65,954.0
592.65,593.4,591.5,592.35,9168.0
592.35,592.5,591.85,591.9,2326.0
591.9,592.45,591.6,591.8,1498.0
591.8,594.0,591.8,592.25,3295.0
592.25,593.2,592.25,592.35,2143.0
592.35,592.9,592.15,592.7,1483.0
592.3,593.25,592.05,593.0,1374.0
593.0,594.0,593.0,593.0,1138.0
593.0,593.15,592.0,592.7,3372.0
592.7,593.0,592.35,592.35,1002.0
592.4,593.15,592.35,592.85,1211.0
592.85,593.25,592.05,592.6,2760.0
592.6,592.85,592.0,592.0,1020.0
592.05,593.15,592.05,592.25,2088.0
592.25,592.65,592.0,592.1,1325.0
592.1,592.4,591.5,592.1,1437.0
591.75,592.05,590.4,590.4,9300.0
590.4,590.7,590.25,590.3,1400.0
590.3,590.85,590.25,590.7,1743.0
590.3,590.8,590.25,590.25,797.0
590.25,590.6,590.0,590.3,2099.0
590.3,590.7,590.1,590.2,965.0
590.15,590.55,590.1,590.15,1100.0
590.15,590.65,590.15,590.15,1536.0
590.15,590.5,590.0,590.0,1309.0
590.0,590.4,590.0,590.0,2316.0
590.0,590.0,588.7,588.7,2177.0
588.7,589.55,588.45,588.9,1834.0
588.9,589.25,588.6,588.65,3738.0
588.6,589.5,588.6,589.3,1468.0
589.2,589.85,588.65,588.9,2505.0
588.9,589.25,588.05,588.05,1286.0
588.05,588.7,587.7,588.55,2029.0
588.55,589.75,588.2,589.0,1325.0
589.05,591.2,588.9,590.6,2410.0
590.6,591.55,590.5,591.0,1850.0
591.05,591.95,591.0,591.25,2513.0
591.3,592.45,590.95,591.1,4005.0
591.1,592.05,590.8,591.8,1591.0
591.65,593.15,591.4,592.75,4734.0
592.85,594.4,592.4,593.0,7929.0
593.0,593.3,591.55,592.9,3376.0
