open,high,low,close,volume
1385.0,1392.4,1384.9,1389.2,378.0
1389.2,1395.9,1388.1,1394.9,1666.0
1393.7,1395.2,1393.3,1395.2,475.0
1395.2,1398.4,1392.4,1392.4,893.0
1392.4,1396.1,1392.4,1394.7,398.0
1394.7,1395.6,1393.7,1395.0,182.0
1395.0,1395.1,1394.6,1394.6,119.0
1394.6,1394.6,1392.0,1392.0,465.0
1392.0,1393.2,1391.7,1391.7,171.0
1391.7,1392.6,1390.1,1392.4,231.0
1392.4,1392.4,1390.1,1391.4,86.0
1391.4,1391.4,1387.1,1389.1,655.0
1389.1,1389.9,1386.6,1389.9,1725.0
1389.9,1389.9,1388.9,1389.8,250.0
1389.8,1389.8,1389.0,1389.1,247.0
1389.1,1389.8,1388.9,1389.0,182.0
1389.0,1389.0,1388.5,1389.0,60.0
1389.0,1389.8,1388.7,1389.8,101.0
1389.8,1389.8,1388.9,1388.9,107.0
1388.9,1390.0,1388.9,1390.0,61.0
1390.0,1390.0,1386.4,1386.4,606.0
1386.4,1387.6,1386.1,1386.1,73.0
1386.1,1386.4,1385.1,1386.0,77.0
1386.0,1386.3,1385.6,1386.0,94.0
1385.3,1400.0,1385.3,1396.1,6594.0
1396.1,1396.1,1392.8,1392.8,1021.0
1393.6,1395.0,1393.4,1395.0,672.0
1395.0,1398.8,1394.3,1395.8,2197.0
1395.1,1395.6,1394.6,1394.8,646.0
1394.8,1396.5,1393.7,1395.6,707.0
1395.6,1396.5,1395.3,1396.1,711.0
1396.1,1396.1,1394.2,1395.0,247.0
1395.0,1395.0,1393.2,1393.5,138.0
1393.5,1393.5,1393.0,1393.0,66.0
1393.0,1394.1,1392.0,1394.1,439.0
1393.3,1394.2,1391.5,1391.5,892.0
1391.5,1391.7,1390.5,1391.7,366.0
1391.7,1391.8,1391.7,1391.8,120.0
1391.7,1391.7,1391.1,1391.1,61.0
1391.1,1392.2,1388.5,1389.5,1380.0
1389.5,1390.1,1388.6,1388.6,288.0
1388.6,1388.6,1388.0,1388.0,298.0
1388.0,1388.5,1387.6,1387.6,416.0
1387.6,1388.5,1387.0,1387.0,202.0
1387.0,1387.7,1386.6,1387.2,152.0
1387.2,1388.1,1387.2,1387.4,98.0
1387.4,1387.8,1387.0,1387.8,63.0
1387.8,1388.0,1387.2,1388.0,119.0
1388.0,1388.0,1387.2,1387.9,41.0
1387.9,1387.9,1387.2,1387.9,26.0
1387.9,1389.1,1386.4,1386.4,175.0
1386.4,1389.0,1386.4,1388.3,1426.0
1388.3,1389.3,1388.3,1389.2,189.0
1388.0,1389.2,1388.0,1389.2,25.0
1389.2,1389.2,1386.2,1388.5,436.0
1388.5,1389.4,1388.5,1388.6,288.0
1388.6,1389.8,1388.6,1389.0,159.0
1389.0,1389.0,1387.0,1387.9,54.0
1387.9,1387.9,1386.5,1386.7,135.0
1386.7,1387.3,1386.4,1387.3,54.0
1387.0,1388.0,1386.3,1387.1,91.0
1387.1,1388.0,1386.9,1387.6,92.0
1387.0,1388.0,1387.0,1387.6,113.0
1387.6,1390.0,1387.6,1389.5,1515.0
1389.5,1393.0,1389.5,1392.3,994.0
1392.3,1394.2,1392.0,1392.0,456.0
1392.0,1392.0,1390.8,1391.8,597.0
1391.8,1392.1,1388.8,1389.8,503.0
