open,high,low,close,volume
112.55,117.1,108.4,116.12,2501911.0
116.6,117.4,115.1,116.72,477340.0
116.71,119.39,116.47,119.0,933684.0
119.04,119.25,115.5,116.22,289053.0
116.21,117.71,116.01,117.7,166404.0
117.77,118.01,117.5,117.56,88223.0
117.56,118.44,117.08,117.27,504318.0
117.34,117.81,116.83,117.5,123218.0
117.52,118.46,117.05,117.94,288989.0
118.05,118.2,117.5,117.53,87934.0
117.53,118.23,117.28,117.69,174225.0
117.69,117.88,117.2,117.62,48103.0
117.62,119.99,117.62,119.95,683881.0
119.84,121.7,119.4,119.88,1093842.0
119.7,119.99,118.31,118.76,279082.0
118.8,119.1,118.27,118.3,156602.0
118.3,119.35,117.62,117.8,262861.0
117.77,118.09,117.28,118.05,144247.0
118.05,118.05,117.11,117.8,202038.0
117.8,117.89,117.36,117.53,59073.0
117.53,117.73,117.29,117.29,35944.0
117.34,117.42,115.29,115.35,298365.0
115.35,116.74,114.9,116.02,253770.0
116.02,116.03,115.2,115.29,138439.0
115.29,116.0,114.65,115.8,124070.0
115.81,116.39,115.8,115.86,105261.0
115.86,115.89,115.27,115.7,81275.0
115.7,116.39,115.6,115.79,88653.0
115.79,116.03,115.6,115.63,50265.0
115.63,115.79,115.5,115.63,56930.0
115.63,116.23,115.6,115.88,48643.0
115.88,116.06,115.5,116.05,71048.0
116.05,116.35,115.46,115.9,105451.0
115.9,115.9,115.34,115.9,138905.0
115.9,116.74,115.78,115.8,57856.0
115.91,116.0,115.63,115.78,13040.0
115.78,116.24,115.68,116.01,14629.0
116.01,116.1,115.79,115.79,13150.0
115.84,116.25,115.84,116.24,27150.0
116.24,116.24,115.92,116.0,25847.0
116.0,116.0,115.75,115.79,11172.0
115.79,115.89,115.55,115.67,18593.0
115.75,115.75,115.5,115.58,16462.0
115.58,115.73,115.5,115.68,24690.0
115.68,115.73,115.43,115.55,29114.0
115.55,115.79,115.51,115.57,20723.0
115.57,115.64,115.47,115.53,60412.0
115.53,116.45,115.53,116.22,1041707.0
116.22,116.47,116.03,116.03,14011.0
116.03,116.24,116.03,116.1,12427.0
116.1,116.27,116.1,116.27,3459.0
116.27,116.29,116.15,116.17,2610.0
116.17,116.4,115.71,116.28,62665.0
116.32,116.33,116.14,116.24,3285.0
116.04,116.25,116.0,116.0,12816.0
116.0,116.38,116.0,116.25,13155.0
116.25,116.32,116.11,116.22,13275.0
116.22,116.25,115.27,115.49,58862.0
115.49,115.7,115.25,115.58,39344.0
115.58,115.66,115.5,115.55,1790.0
115.55,115.58,115.22,115.22,18063.0
115.22,115.48,115.22,115.48,12420.0
115.3,115.45,115.02,115.4,126889.0
115.4,115.42,115.22,115.31,77651.0
115.31,115.69,114.8,115.1,119050.0
115.1,115.58,113.84,115.43,303812.0
115.5,116.16,115.27,115.9,117541.0
115.9,115.9,115.62,115.85,68779.0
