open,high,low,close,volume
579.8,583.0,575.25,577.2,6077.0
577.35,578.2,574.0,574.35,2384.0
574.35,575.35,574.0,574.6,1265.0
574.7,575.85,573.45,574.0,1429.0
574.0,575.35,573.6,574.8,3138.0
574.8,575.55,573.15,575.55,1529.0
575.55,575.8,574.65,575.05,728.0
575.45,576.0,574.85,574.85,731.0
574.85,576.0,574.85,575.8,866.0
575.8,576.0,574.95,575.8,749.0
575.8,575.95,572.9,572.9,2391.0
572.9,573.6,572.9,573.25,113.0
573.55,573.65,572.4,572.4,1754.0
572.4,572.8,572.0,572.8,624.0
572.8,574.15,572.45,574.15,1655.0
574.15,574.5,573.05,573.6,723.0
573.6,573.6,572.45,572.7,1124.0
573.15,573.7,572.45,573.5,293.0
573.5,573.7,572.8,573.7,204.0
573.7,573.7,573.65,573.65,75.0
573.2,573.2,572.35,572.85,1070.0
572.85,572.85,567.1,570.45,18939.0
570.45,570.65,569.0,570.65,1230.0
570.6,570.65,569.25,569.95,1998.0
569.95,569.95,569.2,569.65,181.0
569.15,569.5,569.05,569.5,51.0
569.5,569.5,569.45,569.45,25.0
569.45,569.8,569.05,569.8,137.0
569.8,569.9,569.15,569.9,119.0
569.9,569.95,569.1,569.1,283.0
569.1,569.85,569.05,569.85,661.0
569.85,570.0,569.5,570.0,319.0
570.0,570.15,569.5,569.95,157.0
569.95,569.95,569.95,569.95,31.0
569.95,569.95,568.6,568.75,255.0
568.95,570.25,568.95,570.25,2676.0
570.25,570.5,569.05,569.75,228.0
569.75,569.9,569.45,569.9,20.0
569.9,569.9,569.0,569.05,113.0
569.05,569.4,569.0,569.4,14.0
569.6,569.65,569.15,569.55,120.0
569.55,569.8,569.25,569.7,104.0
569.7,572.0,569.4,570.75,974.0
570.75,570.9,570.0,570.0,409.0
570.45,570.45,569.6,569.6,427.0
569.6,570.3,569.55,570.3,469.0
570.3,570.3,569.2,569.2,339.0
569.05,569.85,569.05,569.85,510.0
569.85,570.0,569.3,569.75,59.0
