open,high,low,close,volume
375.65,376.55,372.3,373.45,7278.0
373.45,376.0,372.85,375.0,11167.0
375.0,376.0,373.0,373.0,4035.0
373.0,375.4,373.0,373.8,2841.0
373.8,374.25,367.55,368.6,9533.0
367.9,368.35,367.35,367.8,3783.0
367.8,368.45,366.0,366.75,7816.0
366.75,367.0,366.0,366.0,2224.0
366.0,366.95,365.6,366.85,1737.0
366.85,367.9,366.45,367.1,3216.0
367.1,367.8,365.55,365.75,4089.0
365.75,366.2,362.0,362.6,14887.0
362.05,362.75,361.35,362.0,6127.0
361.45,362.2,360.65,362.2,4642.0
362.2,363.3,361.1,361.1,3857.0
361.35,361.9,361.05,361.25,1800.0
361.25,361.85,361.0,361.05,3461.0
361.05,362.5,360.5,362.0,4443.0
362.0,362.5,361.15,361.5,1375.0
361.5,361.85,361.0,361.45,3950.0
361.45,361.6,359.05,360.55,9982.0
360.1,362.3,360.1,362.15,5099.0
362.15,362.25,361.65,361.65,1298.0
361.65,362.25,361.5,361.9,855.0
361.9,363.15,361.9,362.6,1465.0
362.6,363.35,362.6,362.7,306.0
362.7,363.0,362.35,362.35,473.0
362.75,362.75,361.25,362.35,2005.0
362.35,362.85,362.3,362.65,540.0
362.65,362.9,362.15,362.9,155.0
362.9,363.6,362.05,362.35,2204.0
362.35,362.85,361.35,362.0,1917.0
362.0,362.45,361.45,361.45,596.0
361.45,362.0,361.15,361.85,2032.0
361.85,361.95,361.2,361.2,814.0
361.5,363.0,361.5,362.95,476.0
362.95,363.0,362.45,362.95,416.0
