open,high,low,close,volume
241.63,242.07,237.0,237.15,96025.0
237.15,237.37,236.51,236.75,75656.0
236.6,236.81,235.0,235.73,110255.0
235.73,236.26,235.55,236.25,38894.0
236.25,236.42,236.0,236.1,30268.0
236.1,236.12,235.15,235.21,29147.0
235.21,235.51,235.02,235.17,39014.0
235.05,235.85,235.0,235.44,49257.0
235.44,235.66,235.04,235.55,30449.0
235.55,235.81,235.5,235.61,24330.0
235.61,235.71,235.21,235.41,20085.0
235.41,235.48,235.22,235.32,13148.0
235.32,235.49,235.3,235.43,12062.0
235.43,235.71,235.0,235.16,49222.0
235.16,235.33,235.0,235.0,13139.0
235.0,235.09,234.7,234.71,115236.0
234.63,234.74,234.21,234.71,25896.0
234.71,234.89,234.4,234.5,10353.0
234.5,234.83,234.49,234.6,8243.0
234.6,234.72,234.5,234.64,7840.0
234.64,234.67,234.1,234.1,18887.0
234.1,234.33,234.0,234.0,24342.0
234.0,234.2,234.0,234.17,11562.0
234.17,234.17,233.5,233.76,25641.0
233.76,234.7,233.61,234.56,30842.0
234.56,234.58,234.06,234.06,10114.0
234.06,234.21,233.68,233.68,19715.0
233.68,233.93,233.66,233.78,13343.0
233.78,235.68,233.6,235.63,42980.0
235.5,237.29,235.45,237.15,61296.0
237.2,237.77,236.97,237.1,37802.0
237.1,237.63,236.95,237.0,23113.0
237.0,237.05,236.9,237.01,21653.0
237.01,237.39,237.0,237.0,24338.0
237.0,237.3,236.9,236.99,31020.0
236.99,238.3,236.88,238.19,37573.0
238.18,238.18,237.95,238.0,12840.0
238.0,238.02,237.95,238.0,18972.0
238.0,238.31,237.7,238.02,38287.0
238.02,238.86,237.93,238.51,22522.0
238.5,238.6,238.4,238.57,18634.0
238.4,238.5,236.32,237.39,78947.0
237.39,237.56,236.1,236.14,10626.0
236.14,236.41,235.67,236.29,13580.0
236.29,238.19,235.6,238.01,44456.0
238.0,238.03,238.0,238.02,13787.0
238.0,238.02,237.99,238.01,13039.0
238.01,238.2,236.17,236.31,32192.0
236.13,237.73,236.13,237.62,8259.0
