open,high,low,close,volume
891.0,894.95,888.1,890.55,1911.0
890.6,891.95,890.05,890.15,905.0
890.15,892.05,889.2,891.85,1745.0
891.85,892.35,890.0,890.0,1487.0
890.0,893.25,890.0,890.8,1626.0
890.8,890.8,889.15,889.7,366.0
889.4,889.4,887.15,887.2,1269.0
887.2,889.5,887.15,887.9,316.0
887.9,889.65,887.15,888.55,3250.0
888.65,892.0,888.4,890.7,1289.0
890.7,892.35,889.35,889.5,3628.0
889.5,890.45,888.2,888.4,351.0
888.4,889.55,888.0,888.0,380.0
888.0,889.0,888.0,888.05,115.0
888.5,889.15,886.6,886.6,7582.0
886.6,886.6,884.15,884.5,1801.0
884.5,885.0,884.5,885.0,556.0
885.0,885.6,885.0,885.45,150.0
885.1,886.55,885.1,885.35,779.0
885.35,886.25,885.3,885.35,415.0
885.35,886.2,885.25,885.25,569.0
885.25,885.85,884.0,884.25,713.0
884.6,885.15,884.25,884.45,1772.0
884.45,885.35,883.1,883.9,867.0
883.9,886.45,883.9,886.4,425.0
885.55,887.25,885.55,886.75,406.0
886.25,887.45,885.75,886.45,2725.0
886.0,887.25,885.6,887.2,260.0
886.55,887.25,882.95,885.0,7548.0
884.25,885.6,884.25,884.75,606.0
884.5,885.15,884.5,885.1,92.0
885.1,885.15,883.15,883.75,1174.0
883.35,884.9,883.35,884.0,941.0
884.05,884.05,882.25,883.45,1300.0
883.45,883.95,881.85,882.65,5586.0
881.95,882.65,880.5,881.0,2543.0
880.85,881.0,877.35,878.0,4022.0
877.35,879.65,877.35,879.65,1103.0
879.65,879.8,878.75,879.8,470.0
879.15,879.85,878.8,879.8,446.0
879.15,880.4,879.0,879.95,400.0
879.3,879.6,878.25,879.6,1194.0
879.0,879.85,878.15,879.25,1095.0
879.35,879.7,878.55,879.4,712.0
878.8,879.9,878.7,879.4,1235.0
878.75,880.0,878.7,880.0,347.0
880.0,880.05,878.6,879.3,2397.0
878.65,879.5,871.65,871.75,12129.0
872.05,873.45,871.0,871.95,6891.0
