open,high,low,close,volume
173.81,176.69,173.51,174.9,550018.0
174.9,175.19,172.7,173.0,251530.0
173.0,173.59,172.76,173.36,92370.0
173.36,173.64,172.92,173.16,40404.0
173.28,173.31,172.7,172.75,85984.0
172.9,173.1,172.76,172.8,49641.0
172.8,173.28,172.79,172.85,31419.0
172.85,173.03,172.5,172.5,70454.0
172.54,173.08,172.43,172.81,34412.0
172.81,172.97,172.72,172.94,31359.0
172.81,172.94,172.61,172.69,14204.0
172.69,172.8,172.61,172.68,22453.0
172.68,172.7,172.31,172.42,48212.0
172.33,172.5,172.1,172.17,35985.0
172.17,172.23,171.8,172.11,58792.0
172.11,172.12,171.02,171.13,103216.0
171.13,171.35,171.0,171.2,54954.0
171.2,171.26,170.74,171.16,55601.0
171.16,171.35,171.03,171.16,17975.0
171.16,171.52,171.16,171.23,29722.0
171.23,171.25,170.9,170.99,28518.0
170.99,171.34,170.86,171.33,32122.0
171.25,171.32,171.0,171.18,18858.0
171.18,171.34,171.11,171.33,7938.0
171.33,171.45,171.13,171.37,15492.0
171.37,171.76,171.37,171.44,31640.0
171.6,171.6,171.4,171.41,20473.0
171.41,172.1,171.4,172.04,48861.0
172.04,172.15,171.78,171.9,22307.0
171.9,172.1,171.9,172.02,5200.0
172.02,172.19,171.9,172.0,31160.0
172.0,172.04,171.63,171.64,12789.0
171.64,171.8,171.64,171.8,9389.0
171.7,171.8,171.36,171.4,30274.0
171.4,171.49,171.14,171.35,13499.0
171.35,171.49,171.29,171.3,11099.0
171.3,171.53,171.22,171.35,34857.0
171.35,171.45,171.2,171.29,11172.0
171.39,171.4,171.3,171.4,3454.0
171.4,171.4,171.15,171.37,10052.0
171.36,171.41,171.2,171.28,21281.0
171.28,171.54,170.58,171.23,100900.0
171.11,171.52,171.11,171.45,16606.0
171.45,171.45,171.25,171.44,9234.0
171.44,171.44,171.17,171.18,19788.0
171.18,171.4,171.18,171.39,3465.0
171.25,171.39,171.25,171.37,7555.0
171.37,171.38,171.22,171.3,6600.0
171.3,171.55,171.17,171.3,20445.0
