open,high,low,close,volume
1050.0,1068.9,1041.5,1064.0,57864.0
1064.0,1075.1,1060.7,1072.6,55305.0
1072.0,1072.5,1062.6,1065.6,23222.0
1065.6,1070.0,1064.6,1066.1,11451.0
1067.2,1069.0,1064.1,1067.1,12532.0
1067.1,1067.9,1063.4,1065.4,7861.0
1065.4,1066.0,1062.0,1062.0,7998.0
1062.0,1062.5,1054.0,1057.6,20569.0
1057.6,1057.6,1052.6,1054.7,6305.0
1054.7,1055.0,1051.0,1051.5,6220.0
1052.0,1052.5,1050.1,1051.1,3728.0
1052.0,1052.0,1043.0,1043.4,7921.0
1043.4,1047.1,1041.4,1043.4,14779.0
1043.4,1044.4,1042.0,1043.0,4044.0
1043.0,1043.0,1035.1,1038.0,11742.0
1038.0,1038.0,1033.2,1036.4,9198.0
1036.4,1041.9,1036.4,1040.0,4325.0
1040.0,1040.0,1037.1,1037.1,711.0
1037.1,1039.4,1037.1,1038.0,481.0
1038.0,1038.0,1033.0,1034.9,2152.0
1034.9,1035.6,1030.0,1032.2,4371.0
1032.2,1032.2,1027.9,1030.3,4581.0
1030.3,1030.3,1027.5,1028.1,1761.0
1028.1,1028.2,1026.3,1028.0,1459.0
1028.0,1028.8,1026.0,1027.1,1141.0
1027.1,1027.1,1023.0,1023.2,4060.0
1023.2,1023.3,1021.0,1021.9,4826.0
1021.9,1025.9,1021.0,1023.8,4695.0
1023.8,1023.9,1018.1,1019.2,5101.0
1019.2,1024.5,1019.2,1022.0,2642.0
1022.0,1023.8,1021.7,1022.7,1252.0
1022.7,1024.8,1022.0,1024.8,1091.0
1024.8,1028.9,1024.3,1026.2,4284.0
1026.0,1026.8,1023.6,1024.6,1505.0
1024.6,1025.4,1023.0,1023.7,530.0
1023.7,1026.6,1023.7,1026.4,395.0
1026.4,1026.4,1024.3,1025.2,448.0
1025.2,1026.8,1024.4,1024.8,1389.0
1024.8,1024.9,1022.9,1024.0,319.0
1024.0,1024.6,1023.1,1024.0,271.0
1024.0,1024.0,1022.3,1022.3,169.0
1022.3,1022.3,1021.2,1021.8,622.0
1021.8,1022.2,1020.5,1022.2,837.0
1022.2,1023.7,1021.4,1023.2,856.0
1024.5,1025.0,1023.0,1023.2,3395.0
1023.2,1025.0,1023.1,1023.9,306.0
1023.9,1024.6,1022.2,1023.0,952.0
1023.0,1023.9,1021.1,1021.4,1212.0
1021.4,1023.9,1021.4,1023.0,1271.0
