open,high,low,close,volume
353.85,353.85,350.45,350.6,57028.0
350.6,351.7,350.25,350.95,24282.0
350.95,351.6,350.45,350.45,23207.0
350.45,350.65,349.6,350.0,18096.0
350.0,350.2,349.25,349.5,29102.0
349.5,349.7,348.35,348.55,35279.0
348.55,349.0,348.35,348.35,20568.0
348.35,349.5,348.15,348.75,30833.0
348.75,349.3,348.5,349.3,7670.0
349.3,349.7,349.15,349.7,9732.0
349.7,349.95,349.45,349.9,4430.0
349.7,349.95,349.6,349.65,7945.0
349.65,350.35,349.6,350.3,8882.0
350.3,350.3,349.95,349.95,3877.0
349.95,349.95,348.15,348.45,167487.0
348.45,348.6,348.1,348.1,5461.0
348.1,348.7,348.1,348.7,5443.0
348.7,348.7,348.5,348.55,6633.0
348.55,348.9,348.55,348.85,5767.0
348.85,348.95,348.3,348.4,5588.0
348.4,348.6,348.0,348.55,29372.0
348.7,348.7,348.5,348.5,3149.0
348.5,348.75,348.3,348.5,4909.0
348.5,348.8,348.0,348.8,9558.0
348.8,348.8,348.2,348.3,1749.0
348.3,348.75,348.3,348.75,3190.0
348.75,348.75,348.55,348.55,2771.0
348.55,348.6,348.15,348.15,12469.0
348.15,348.4,348.0,348.2,2247.0
348.2,348.3,348.05,348.1,1514.0
348.1,348.5,347.5,348.0,24281.0
348.0,348.35,348.0,348.1,1316.0
348.1,348.1,347.2,347.6,10641.0
347.6,347.9,347.35,347.6,8357.0
