open,high,low,close,volume
218.95,221.98,218.5,221.39,13613.0
221.39,222.34,220.07,220.28,20519.0
220.28,220.67,219.68,220.33,4123.0
220.33,220.33,219.0,219.59,8373.0
219.59,219.79,219.08,219.18,1494.0
219.18,219.57,219.0,219.0,565.0
219.0,220.14,218.32,220.14,8584.0
220.14,220.98,220.08,220.44,4806.0
220.44,220.98,220.44,220.61,1307.0
220.61,221.48,220.37,221.48,5986.0
221.25,221.25,220.63,221.25,4876.0
221.25,221.59,220.29,220.29,3732.0
220.29,221.0,220.29,220.88,2275.0
220.88,220.88,220.5,220.51,256.0
220.51,220.78,220.49,220.5,1249.0
220.5,220.78,220.21,220.22,1202.0
220.22,220.22,220.01,220.01,343.0
220.0,220.81,220.0,220.4,2588.0
220.4,220.55,220.38,220.38,15.0
220.38,220.38,220.14,220.14,59.0
220.1,220.1,219.65,219.96,1472.0
219.96,220.34,219.27,220.34,963.0
219.5,220.68,219.5,220.39,2055.0
220.39,220.7,220.16,220.6,3565.0
220.6,221.28,220.55,221.27,1699.0
221.26,221.79,220.41,221.66,4383.0
221.45,221.53,220.67,221.0,2158.0
220.6,220.6,219.87,220.32,3539.0
220.0,220.46,219.8,220.46,615.0
220.46,220.46,220.18,220.18,27.0
220.18,220.52,220.16,220.21,315.0
220.21,221.0,220.06,220.37,1017.0
220.37,220.37,220.25,220.37,79.0
220.37,220.99,220.37,220.63,2778.0
220.63,220.63,220.4,220.43,231.0
220.43,220.92,220.43,220.53,155.0
220.53,220.92,220.53,220.92,2.0
220.97,220.97,220.94,220.96,394.0
220.96,220.96,220.53,220.55,390.0
220.55,220.55,220.53,220.55,165.0
220.55,220.96,220.55,220.95,1989.0
221.0,221.09,220.53,220.53,3294.0
220.53,220.6,220.53,220.6,100.0
