open,high,low,close,volume
167.99,168.17,166.3,167.83,684671.0
167.8,168.49,167.7,167.91,488004.0
167.91,168.33,167.56,167.61,133486.0
167.65,167.66,167.11,167.29,184873.0
167.2,167.89,167.2,167.8,171875.0
167.8,167.8,167.4,167.41,47971.0
167.41,167.84,167.41,167.6,78767.0
167.6,167.7,167.41,167.48,69595.0
167.5,167.6,167.4,167.55,66327.0
167.55,167.84,167.49,167.68,54891.0
167.68,167.74,167.2,167.42,109104.0
167.43,167.46,167.25,167.29,45317.0
167.3,167.35,167.29,167.31,43204.0
167.31,167.31,167.1,167.14,71914.0
167.14,167.14,166.7,166.77,202585.0
166.79,166.81,159.01,161.35,5051739.0
161.33,162.46,158.73,162.43,4176074.0
162.38,163.54,162.17,163.27,1196836.0
163.27,165.0,163.27,164.0,1753622.0
