open,high,low,close,volume
229.05,231.0,229.05,231.0,298.0
231.0,231.0,229.32,229.43,36.0
229.43,229.84,228.4,229.3,616.0
229.3,229.3,228.0,228.59,541.0
228.59,228.59,228.4,228.4,4.0
228.73,228.73,227.96,228.0,229.0
228.0,228.0,228.0,228.0,0.0
228.0,228.0,227.99,227.99,5.0
227.99,227.99,227.69,227.69,10.0
227.69,227.69,227.61,227.62,211.0
227.62,227.62,227.62,227.62,0.0
227.62,228.12,227.1,227.57,715.0
227.17,227.17,227.02,227.17,575.0
227.17,227.51,227.17,227.51,25.0
227.51,227.51,227.51,227.51,0.0
227.51,227.51,227.01,227.01,350.0
227.01,227.22,227.01,227.22,53.0
227.22,227.22,227.22,227.22,0.0
227.22,227.45,227.22,227.45,3.0
227.45,227.45,227.0,227.0,592.0
227.0,227.0,227.0,227.0,5.0
227.0,227.22,226.02,227.22,699.0
227.22,227.22,227.22,227.22,3.0
227.22,227.22,227.22,227.22,3.0
227.22,230.15,227.22,228.78,7171.0
228.78,229.16,228.78,229.16,6.0
229.16,229.16,229.16,229.16,0.0
229.16,229.16,228.82,228.82,315.0
228.82,229.77,228.82,229.61,178.0
229.61,229.61,229.21,229.21,50.0
229.01,230.5,229.01,230.25,1283.0
230.25,230.37,230.25,230.37,10.0
230.37,232.0,230.04,232.0,1920.0
232.0,232.73,230.01,230.01,558.0
