open,high,low,close,volume
327.0,333.0,324.5,325.55,99972.0
324.75,324.85,323.1,323.7,31671.0
323.7,323.85,322.2,322.45,9782.0
322.45,324.9,322.45,324.4,10225.0
324.4,325.0,323.6,323.8,9916.0
323.8,323.8,322.05,322.45,9448.0
322.45,322.6,321.55,322.3,13701.0
322.3,322.4,321.8,321.85,5025.0
322.0,322.05,321.7,321.7,3067.0
321.7,322.0,321.65,322.0,1973.0
322.0,322.4,321.9,322.35,3256.0
322.35,322.85,322.0,322.1,8167.0
322.1,323.45,321.7,323.0,9264.0
323.0,323.25,322.8,322.85,3079.0
322.85,322.9,322.1,322.35,1122.0
322.35,322.35,321.0,321.2,12542.0
321.2,321.25,320.4,321.2,8039.0
321.2,322.05,320.75,322.0,5436.0
322.0,322.1,321.75,322.0,1733.0
322.0,322.0,321.25,321.5,5774.0
321.5,321.5,318.65,318.9,20341.0
319.1,320.0,319.05,319.5,7509.0
319.5,319.75,319.4,319.6,3173.0
319.6,319.9,319.4,319.6,3195.0
319.6,319.95,319.6,319.95,860.0
319.95,321.0,319.65,320.5,12385.0
320.5,321.0,320.35,320.55,5932.0
320.55,320.55,320.2,320.4,612.0
320.4,320.8,320.15,320.8,4470.0
320.8,320.8,319.65,320.75,9772.0
320.75,320.9,320.5,320.7,1724.0
320.7,320.95,320.6,320.8,1409.0
320.8,320.9,320.35,320.45,1519.0
320.45,321.15,320.45,320.6,3749.0
