open,high,low,close,volume
222.57,222.81,222.2,222.7,66.0
222.7,223.31,222.0,223.3,5919.0
223.3,224.32,223.05,223.88,1393.0
223.88,224.23,223.61,223.7,806.0
223.7,223.7,222.94,223.52,142.0
223.52,224.09,223.21,223.21,997.0
223.21,223.26,222.51,223.26,1501.0
223.26,223.39,223.01,223.31,172.0
223.31,223.31,223.31,223.31,0.0
223.31,223.31,223.31,223.31,0.0
223.31,223.39,223.04,223.06,1633.0
223.06,223.06,222.8,222.8,56.0
222.8,222.8,222.59,222.67,84.0
222.67,222.95,222.67,222.72,934.0
222.0,222.2,222.0,222.02,3439.0
222.02,222.02,221.5,221.79,308.0
221.79,221.79,220.85,221.39,3899.0
221.39,221.39,220.81,221.39,1310.0
221.39,221.39,221.39,221.39,0.0
221.39,221.39,218.81,219.21,6189.0
219.77,219.9,217.5,219.27,4147.0
219.27,219.34,219.03,219.2,567.0
219.2,219.86,219.2,219.86,1223.0
219.86,219.86,219.32,219.38,132.0
219.38,219.78,219.38,219.78,277.0
219.78,219.82,219.44,219.82,214.0
219.82,219.99,219.82,219.93,212.0
219.93,219.93,219.44,219.44,144.0
219.44,219.44,219.3,219.3,121.0
219.3,219.57,219.0,219.57,606.0
219.57,219.79,219.57,219.78,181.0
219.78,219.78,219.6,219.6,11.0
219.6,219.9,219.34,219.34,291.0
219.34,219.54,219.2,219.2,1251.0
219.2,219.27,219.2,219.27,205.0
219.27,219.76,219.15,219.15,467.0
219.15,219.47,219.0,219.0,2719.0
219.0,219.37,219.0,219.3,412.0
219.3,219.3,219.0,219.3,329.0
219.3,219.33,219.25,219.33,113.0
219.33,219.56,219.07,219.43,1517.0
219.43,219.43,219.02,219.32,679.0
219.32,219.32,219.05,219.05,51.0
219.05,219.3,219.05,219.3,5.0
219.3,219.41,219.27,219.41,10.0
219.41,219.41,219.41,219.41,0.0
