open,high,low,close,volume
279.0,280.95,278.45,280.45,299822.0
280.55,281.0,279.35,280.65,152290.0
280.65,280.75,279.3,279.65,152614.0
279.65,281.25,279.0,280.8,132188.0
280.8,281.65,280.25,281.0,149950.0
281.0,281.6,280.25,280.35,124100.0
280.4,282.75,280.35,282.55,266200.0
282.55,282.65,281.6,281.75,164789.0
281.75,282.35,281.45,281.6,183169.0
281.6,281.6,280.4,280.85,82055.0
280.85,280.85,279.95,280.25,101385.0
280.25,280.55,279.75,279.9,92170.0
279.9,280.1,279.5,279.85,83840.0
279.85,279.9,279.5,279.7,60375.0
279.7,279.8,278.75,279.25,176663.0
279.25,279.65,278.85,279.3,231075.0
279.15,279.35,278.65,278.8,90904.0
278.8,279.15,278.1,278.25,107221.0
278.25,278.6,277.8,278.5,92538.0
278.5,278.75,278.2,278.3,30607.0
278.3,278.4,275.15,275.3,748674.0
275.3,275.95,274.3,275.7,789287.0
