open,high,low,close,volume
184.0,184.19,182.62,182.93,713209.0
182.93,183.3,182.75,183.15,257102.0
183.1,183.16,182.7,182.79,224179.0
182.76,182.76,182.1,182.16,427277.0
182.2,182.48,182.16,182.42,250273.0
182.42,182.42,182.01,182.07,201407.0
182.07,182.29,181.65,181.72,668537.0
181.72,181.88,181.49,181.51,391449.0
181.57,181.8,181.45,181.78,228816.0
181.78,181.95,181.65,181.83,202468.0
181.81,181.87,181.66,181.75,134816.0
181.75,181.8,181.55,181.61,155373.0
181.6,181.71,181.55,181.6,113388.0
181.57,181.66,181.54,181.63,133034.0
181.6,181.65,181.45,181.5,361855.0
181.51,181.53,180.16,180.44,1063785.0
180.31,180.59,180.0,180.57,557301.0
180.57,180.7,180.25,180.65,511305.0
180.65,181.6,180.63,181.42,568135.0
181.43,181.55,181.3,181.54,304912.0
181.52,181.88,181.51,181.65,261640.0
181.65,181.73,181.41,181.72,161055.0
