open,high,low,close,volume
131.01,131.13,129.7,129.95,544010.0
129.95,129.95,129.13,129.5,619304.0
129.51,129.72,129.4,129.5,254854.0
129.5,129.55,129.25,129.43,215566.0
129.43,129.73,129.4,129.59,142916.0
129.61,129.73,129.5,129.61,133588.0
129.65,129.74,129.61,129.72,75525.0
129.72,129.76,129.55,129.63,186772.0
129.63,129.72,129.57,129.65,61303.0
129.65,129.79,129.62,129.67,55123.0
129.67,129.79,129.6,129.78,45542.0
129.78,129.97,129.72,129.77,97200.0
129.77,129.85,129.56,129.58,112202.0
129.58,129.58,129.15,129.15,480549.0
129.16,129.39,129.1,129.35,96332.0
129.35,129.39,129.28,129.33,46482.0
129.33,129.34,129.31,129.34,225.0
