open,high,low,close,volume
775.45,787.0,774.25,783.35,10730.0
784.0,787.5,782.1,787.0,7487.0
787.0,787.95,780.7,781.0,14861.0
781.0,791.5,780.0,791.45,30297.0
791.45,793.0,788.8,790.65,12353.0
790.65,794.05,790.05,794.05,13478.0
794.05,794.05,791.5,792.95,10390.0
792.95,793.5,791.3,791.5,3885.0
791.5,792.2,790.0,791.5,12098.0
791.5,793.0,790.3,792.0,7133.0
792.0,792.75,790.5,791.35,6361.0
791.35,792.05,786.85,787.0,7556.0
788.15,788.3,787.3,787.4,1554.0
787.35,787.35,786.1,786.3,1273.0
786.25,787.4,784.6,786.15,9569.0
786.15,786.55,785.75,785.75,699.0
785.75,786.75,785.75,786.15,513.0
786.15,787.7,786.0,786.2,786.0
786.2,787.6,786.05,787.6,2628.0
787.6,789.0,786.75,789.0,1467.0
789.0,789.0,788.0,788.25,1188.0
788.25,789.45,787.2,789.2,1601.0
789.2,789.2,788.0,788.0,1108.0
788.0,788.85,787.55,787.55,199.0
788.2,788.2,786.0,787.15,925.0
787.55,787.95,785.15,785.5,2151.0
785.5,785.85,784.95,785.5,748.0
785.5,785.65,784.55,785.0,729.0
785.0,786.4,784.35,786.4,644.0
786.1,786.3,785.05,785.65,607.0
785.65,786.0,785.0,786.0,1718.0
786.0,786.8,783.1,784.35,4124.0
784.35,786.0,783.65,786.0,628.0
785.55,785.95,784.25,784.9,1110.0
784.9,785.8,784.25,784.25,1385.0
784.25,784.85,784.0,784.85,887.0
784.85,785.0,784.25,784.55,1242.0
784.55,785.0,784.25,785.0,761.0
785.05,785.6,784.65,785.15,519.0
785.2,785.4,784.7,784.7,511.0
784.7,785.2,784.7,785.2,154.0
785.05,785.5,784.75,785.0,1424.0
785.0,786.25,784.75,785.65,1089.0
785.3,791.95,785.3,790.65,7576.0
790.65,793.4,790.35,793.4,8439.0
793.4,793.95,792.2,792.85,7203.0
792.15,793.0,792.0,792.5,1714.0
792.5,792.9,792.0,792.85,2073.0
792.85,793.0,792.05,792.85,1342.0
792.85,793.85,792.3,793.3,4253.0
793.3,793.85,792.4,793.3,2982.0
793.3,793.6,792.7,792.7,726.0
