open,high,low,close,volume
173.71,173.79,172.72,173.31,213091.0
173.28,173.45,173.11,173.18,61330.0
173.18,173.28,172.84,172.87,78901.0
172.87,172.97,172.6,172.71,80599.0
172.71,173.2,172.7,172.94,37248.0
172.93,173.08,172.89,172.95,22456.0
173.01,173.01,172.8,172.95,72760.0
172.95,173.0,172.79,172.89,25734.0
172.89,172.94,172.5,172.58,45629.0
172.58,172.64,172.45,172.5,83874.0
172.52,172.63,172.32,172.54,119714.0
172.54,172.67,172.43,172.62,26348.0
172.58,172.82,172.25,172.31,49245.0
172.31,172.5,172.25,172.38,52873.0
172.38,172.48,172.38,172.38,17278.0
172.38,172.49,172.35,172.47,20621.0
172.46,172.47,172.35,172.4,23701.0
172.35,172.44,172.26,172.3,26458.0
172.3,172.44,172.22,172.43,31080.0
172.39,172.45,172.33,172.4,19729.0
172.4,172.47,172.39,172.42,12184.0
172.42,172.46,172.25,172.25,18646.0
172.25,172.29,172.03,172.11,82025.0
172.11,172.2,172.08,172.14,15242.0
172.14,172.22,172.08,172.1,12694.0
172.1,172.16,172.08,172.09,13648.0
172.09,172.2,172.09,172.13,7458.0
172.13,172.19,172.0,172.14,54242.0
172.1,172.15,172.0,172.11,27185.0
172.11,172.2,172.1,172.18,45158.0
172.18,172.2,172.07,172.15,21906.0
172.15,172.23,172.11,172.18,46678.0
172.18,172.25,172.11,172.19,47736.0
172.19,172.25,172.19,172.19,24417.0
172.19,172.2,171.85,171.9,128309.0
171.9,172.13,171.9,172.03,34287.0
172.03,172.1,172.02,172.05,23354.0
172.05,172.1,172.05,172.07,12521.0
172.07,172.1,172.07,172.08,17882.0
172.08,172.2,172.05,172.19,41388.0
172.19,172.19,172.19,172.19,41.0
