open,high,low,close,volume
185.26,186.17,183.6,184.04,6741.0
184.1,184.86,182.07,182.61,13019.0
182.61,183.02,182.2,182.5,10192.0
182.43,183.54,182.43,183.5,6477.0
183.52,184.07,183.3,183.3,8932.0
183.0,183.0,182.5,182.87,10806.0
182.84,183.43,182.84,183.0,5617.0
183.0,183.59,183.0,183.44,1431.0
183.44,184.0,183.21,183.58,5528.0
183.58,183.6,183.58,183.58,2835.0
183.31,185.39,183.31,185.0,64469.0
185.1,185.2,184.7,184.94,1392.0
184.94,184.94,184.5,184.5,756.0
184.4,184.8,184.4,184.46,533.0
184.46,184.78,184.08,184.08,3285.0
184.08,184.61,184.08,184.32,462.0
184.62,184.9,184.24,184.9,30898.0
184.9,184.99,184.14,184.83,3194.0
184.83,185.35,184.34,184.5,12162.0
184.5,184.5,184.47,184.47,113.0
184.47,184.47,184.21,184.47,486.0
184.47,184.47,184.12,184.12,109.0
184.12,184.42,184.12,184.42,147.0
184.42,184.5,184.11,184.11,359.0
184.11,184.3,184.0,184.1,3168.0
184.06,184.06,183.51,183.51,27742.0
183.51,183.58,182.92,182.92,4041.0
183.4,183.4,182.8,183.17,14283.0
183.17,183.73,183.1,183.38,1183.0
183.38,183.7,183.26,183.7,1580.0
183.7,183.7,183.34,183.34,10.0
183.34,183.7,183.34,183.7,383.0
183.7,184.08,183.58,183.89,718.0
183.89,184.05,183.58,183.66,915.0
183.99,183.99,183.92,183.92,94.0
183.92,183.92,183.59,183.92,310.0
183.9,183.9,183.31,183.32,2000.0
183.4,183.4,182.5,182.5,20956.0
182.5,182.5,181.7,181.81,4777.0
181.81,182.5,181.51,182.49,5398.0
182.49,182.49,181.75,182.0,4489.0
182.0,182.05,181.77,182.05,1438.0
182.05,182.05,181.77,182.0,1547.0
182.0,182.0,181.9,182.0,270.0
182.0,182.06,181.79,182.04,603.0
182.04,182.04,181.79,181.86,92.0
181.86,182.15,181.86,182.15,4044.0
182.15,182.15,182.08,182.09,1757.0
182.09,182.36,181.0,181.78,22695.0
181.78,182.33,181.53,182.16,2725.0
182.16,182.5,181.78,182.22,7281.0
182.22,182.43,181.0,181.51,13212.0
181.51,181.76,181.51,181.76,100.0
