open,high,low,close,volume
609.0,609.5,603.25,605.05,252548.0
605.25,607.9,604.5,605.55,162083.0
605.55,606.85,605.0,606.6,89880.0
606.6,607.5,605.0,605.55,58979.0
605.55,607.0,605.1,606.15,39034.0
606.1,608.2,606.0,607.7,98592.0
607.5,612.4,607.5,610.75,349204.0
610.55,612.2,610.3,611.7,167153.0
611.6,614.5,611.0,612.1,290723.0
612.1,614.95,611.5,612.9,163373.0
612.75,619.7,612.5,617.55,515290.0
617.55,618.5,615.6,617.25,245976.0
617.4,621.8,617.0,619.0,709024.0
619.1,619.1,616.8,616.8,162131.0
617.05,617.35,613.05,613.3,309455.0
613.3,613.4,610.5,611.2,288905.0
611.2,613.1,611.1,611.4,218201.0
611.4,612.85,610.75,612.5,89489.0
612.7,613.65,611.85,612.95,73550.0
612.95,615.4,612.6,615.3,144316.0
615.35,616.5,615.0,616.2,117240.0
616.2,616.9,615.55,616.2,124506.0
616.2,616.2,615.35,615.9,73107.0
615.9,616.95,615.8,616.15,66932.0
616.35,618.5,616.15,618.0,186041.0
618.0,618.5,617.1,617.95,111188.0
617.95,618.45,617.35,618.4,90748.0
618.2,618.4,617.2,617.6,74631.0
617.6,618.0,617.0,617.9,104925.0
617.9,618.5,617.55,618.0,101139.0
618.1,618.45,617.9,618.1,40303.0
