open,high,low,close,volume
440.2,441.95,438.0,438.9,25387.0
438.9,438.95,437.55,437.7,5522.0
438.0,438.05,436.0,436.55,23287.0
436.55,437.2,436.45,436.8,3502.0
436.8,437.9,436.8,437.5,3841.0
437.5,438.0,437.15,437.25,15935.0
437.25,437.35,436.8,437.25,9984.0
437.25,437.25,437.0,437.1,4965.0
437.1,437.1,436.7,436.95,12761.0
436.95,437.15,436.7,437.0,3360.0
437.0,437.95,436.15,436.55,17519.0
436.55,436.95,436.2,436.95,2514.0
436.95,436.95,436.55,436.65,2087.0
436.65,437.0,436.6,437.0,3198.0
437.0,437.2,436.7,437.05,5009.0
437.05,437.1,436.65,437.1,6221.0
437.1,437.35,437.05,437.3,2705.0
437.3,437.55,436.65,436.85,9058.0
436.85,437.0,436.55,436.75,3150.0
436.75,436.8,436.4,436.5,2743.0
436.5,436.9,436.4,436.8,1007.0
436.8,436.8,435.1,435.85,15758.0
435.85,435.95,435.2,435.5,4950.0
435.5,435.75,435.2,435.55,3207.0
435.55,435.8,435.2,435.8,2993.0
435.8,435.8,435.3,435.6,4737.0
435.6,436.1,435.6,435.85,3740.0
435.85,435.85,435.0,435.6,7438.0
435.6,435.95,435.5,435.7,1836.0
435.7,435.95,435.3,435.8,2404.0
435.7,435.9,435.45,435.9,3264.0
435.9,435.9,435.45,435.9,2819.0
436.0,436.1,434.05,435.4,33001.0
435.4,435.7,434.75,434.85,6109.0
434.85,434.85,433.8,434.25,83124.0
434.25,434.45,433.85,433.95,4276.0
433.95,434.55,433.85,434.5,6492.0
434.5,434.55,434.25,434.4,5525.0
434.4,434.75,434.25,434.55,4459.0
434.55,434.85,434.45,434.85,2785.0
434.85,434.85,434.2,434.65,11066.0
434.65,434.8,433.9,434.25,21510.0
434.35,434.35,433.5,434.0,18975.0
434.0,434.0,433.5,433.85,9432.0
433.85,434.0,433.55,433.65,4529.0
433.65,433.95,433.35,433.85,7552.0
