open,high,low,close,volume
84.9,85.19,83.21,84.79,2028868.0
84.62,86.0,84.62,85.74,1957180.0
85.74,85.74,84.39,84.79,1123789.0
84.78,86.35,84.69,85.9,1509858.0
85.83,86.89,85.83,86.54,1778481.0
86.48,86.49,85.78,85.85,592070.0
85.76,85.93,85.25,85.4,646396.0
85.4,85.5,85.22,85.25,374184.0
85.25,85.51,84.8,85.51,614061.0
85.56,85.83,85.34,85.54,414078.0
85.54,85.9,85.42,85.75,316293.0
85.75,85.9,85.55,85.87,315243.0
85.87,85.87,85.45,85.45,202266.0
85.43,86.54,85.4,86.35,1062844.0
86.27,86.45,86.05,86.45,290280.0
86.48,86.7,86.18,86.56,564291.0
86.56,86.69,86.43,86.6,279074.0
86.6,86.69,86.39,86.62,224783.0
86.67,87.37,86.4,87.17,1188565.0
87.2,87.2,86.65,86.77,439487.0
86.8,86.88,86.51,86.75,206399.0
86.77,87.4,86.56,87.12,739165.0
87.12,87.21,86.9,86.93,336256.0
86.99,87.38,86.9,87.35,363303.0
87.32,87.77,87.24,87.59,1028794.0
87.57,87.9,87.4,87.8,746441.0
87.8,88.4,87.75,88.39,904525.0
88.41,88.82,88.22,88.25,1244816.0
88.25,88.81,88.2,88.75,960800.0
88.7,88.85,88.35,88.45,704678.0
88.45,88.45,87.72,88.23,928928.0
88.22,88.25,87.55,87.9,565499.0
87.9,88.25,87.79,88.13,335729.0
88.13,88.2,88.02,88.08,157562.0
88.04,88.37,87.8,88.3,344395.0
88.3,88.3,88.05,88.19,150634.0
88.19,88.39,88.11,88.2,179039.0
88.17,88.25,88.1,88.25,83345.0
88.25,88.25,88.03,88.04,107213.0
88.1,88.29,87.91,88.24,312762.0
88.24,89.4,88.12,89.15,1319317.0
89.04,89.2,88.92,89.11,593847.0
89.11,89.48,89.02,89.24,894000.0
89.26,89.29,88.75,88.9,437600.0
88.88,89.2,88.87,89.01,442898.0
89.05,89.05,88.5,88.55,568204.0
88.55,88.65,88.4,88.45,190302.0
88.44,88.57,88.2,88.3,308949.0
88.3,88.45,88.15,88.29,225897.0
88.3,88.49,88.15,88.35,247521.0
88.35,88.64,88.35,88.47,215831.0
88.46,88.76,88.36,88.74,175751.0
