open,high,low,close,volume
704.0,709.45,683.45,703.7,3829.0
703.7,703.7,700.95,703.55,156.0
703.55,703.55,700.05,700.05,574.0
700.05,701.15,698.65,701.15,207.0
701.15,701.15,699.05,699.45,104.0
699.45,700.85,699.45,700.85,45.0
700.85,700.85,699.2,699.2,10.0
699.2,699.3,699.2,699.3,10.0
699.3,699.35,699.3,699.35,10.0
699.35,700.8,699.35,700.8,33.0
700.8,702.05,700.8,701.45,55.0
701.45,701.45,700.2,701.3,9.0
701.3,701.55,700.5,700.5,13.0
700.5,700.75,700.1,700.1,32.0
700.1,700.1,700.1,700.1,0.0
700.1,700.5,700.0,700.5,45.0
700.5,700.5,700.0,700.0,140.0
700.0,700.2,699.2,699.95,212.0
699.95,710.25,698.45,709.55,2428.0
709.55,710.45,704.55,706.05,606.0
706.0,714.0,706.0,709.8,1307.0
709.8,714.0,709.8,711.25,929.0
711.25,712.6,710.9,711.05,113.0
711.05,712.05,708.8,711.9,342.0
711.9,711.9,711.9,711.9,10.0
711.9,712.2,711.9,712.05,66.0
712.05,712.05,710.4,710.7,22.0
710.7,711.0,709.6,711.0,111.0
711.0,711.0,708.15,708.6,598.0
708.6,710.8,708.6,709.35,14.0
709.35,710.35,708.95,710.35,17.0
710.35,711.0,710.35,711.0,50.0
711.0,711.0,711.0,711.0,0.0
711.0,711.0,710.55,710.55,5.0
710.55,712.95,710.55,712.95,78.0
712.3,712.3,712.3,712.3,51.0
712.3,712.8,710.65,711.55,172.0
711.55,711.55,711.55,711.55,0.0
711.55,711.55,711.55,711.55,0.0
711.55,712.8,711.55,712.8,210.0
713.0,717.0,713.0,716.8,1559.0
716.8,716.8,713.55,715.4,735.0
715.4,716.55,714.65,714.65,82.0
714.65,715.8,714.65,715.8,19.0
715.8,716.45,714.0,715.0,152.0
715.0,715.45,715.0,715.45,745.0
715.45,716.0,715.45,716.0,501.0
716.0,719.05,714.2,718.8,704.0
718.8,718.8,716.05,716.05,154.0
