open,high,low,close,volume
117.11,117.39,116.21,116.4,504394.0
116.34,116.35,116.11,116.32,256751.0
116.34,116.39,116.12,116.14,190486.0
116.18,116.34,116.04,116.21,242428.0
116.22,116.43,116.12,116.27,198872.0
116.32,116.36,116.12,116.2,129959.0
116.24,116.24,116.18,116.18,57729.0
116.22,116.22,115.79,115.84,286668.0
115.8,116.1,115.8,115.99,191312.0
115.99,116.0,115.9,115.92,70775.0
115.95,116.08,115.9,116.07,59849.0
116.08,116.25,116.03,116.16,77097.0
116.16,116.17,115.74,115.81,306722.0
115.8,115.86,115.35,115.38,249562.0
115.37,115.63,115.32,115.52,115525.0
115.55,115.62,115.5,115.62,156485.0
115.62,115.68,115.55,115.66,74621.0
115.66,115.74,115.56,115.58,51650.0
115.58,115.93,115.54,115.9,358797.0
115.89,116.28,115.85,116.16,920772.0
116.16,116.28,116.11,116.26,138198.0
116.26,116.27,116.09,116.11,99172.0
116.11,116.14,115.95,115.98,72235.0
115.95,116.07,115.86,115.91,96799.0
115.91,116.19,115.76,116.15,117464.0
116.15,116.16,115.88,116.02,50717.0
116.02,116.16,115.91,116.0,62797.0
115.94,116.31,115.91,116.3,677293.0
116.29,116.29,115.92,115.98,136497.0
115.98,116.14,115.94,116.08,86487.0
116.08,116.13,115.94,116.03,45951.0
116.03,116.13,116.0,116.12,19788.0
116.12,116.2,116.06,116.2,27144.0
116.2,116.2,116.11,116.2,27544.0
116.2,116.2,116.18,116.2,3205.0
