open,high,low,close,volume
335.95,338.5,330.9,333.35,72649.0
333.35,333.65,331.4,331.9,22402.0
331.9,331.9,330.1,331.7,19756.0
331.7,332.65,331.15,332.4,11024.0
332.4,333.35,332.2,333.35,12081.0
333.35,335.85,333.35,335.3,24627.0
335.3,335.5,333.95,334.0,6843.0
333.75,334.2,333.65,333.65,5843.0
333.65,334.05,333.65,333.85,3331.0
333.85,334.1,333.65,333.65,2799.0
333.65,334.2,333.55,334.0,2282.0
334.0,334.0,332.35,332.65,9064.0
332.65,332.65,330.55,330.95,14050.0
331.05,331.15,329.0,329.35,35115.0
329.35,329.9,328.9,329.6,8941.0
329.6,329.6,329.0,329.4,4069.0
329.4,329.95,329.05,329.15,7643.0
329.15,329.15,327.6,327.95,19082.0
327.85,328.2,327.0,327.75,27836.0
327.75,328.2,327.4,327.7,5870.0
327.7,327.95,327.25,327.25,4009.0
327.3,328.25,327.25,328.25,4647.0
