open,high,low,close,volume
474.3,479.5,471.35,471.75,336172.0
471.8,473.95,471.75,472.75,139441.0
472.75,473.55,471.8,472.25,116877.0
472.45,474.25,472.25,473.55,103478.0
473.55,474.0,471.9,472.35,82000.0
472.45,472.65,472.0,472.2,54668.0
472.25,472.45,472.0,472.4,22104.0
472.4,474.75,472.25,473.3,77924.0
473.3,473.5,472.4,472.65,28781.0
472.65,472.75,472.0,472.4,142441.0
472.4,473.0,472.1,472.2,23200.0
472.25,472.55,472.0,472.1,93388.0
472.1,472.15,469.85,470.15,159787.0
470.3,470.45,469.05,470.2,55689.0
470.25,471.0,470.0,470.7,27864.0
470.8,470.95,470.05,470.35,24354.0
470.4,470.8,470.15,470.35,31645.0
470.3,470.5,470.0,470.1,24890.0
470.25,470.5,469.85,470.3,33213.0
470.2,470.45,470.0,470.15,14552.0
470.05,470.2,469.05,469.15,31911.0
469.15,469.2,468.5,468.95,65191.0
468.95,469.05,468.8,468.9,12559.0
468.9,468.95,468.1,468.55,46700.0
468.65,468.8,468.05,468.2,36898.0
468.2,468.3,467.2,467.35,63042.0
467.3,468.8,466.55,468.7,171330.0
468.75,469.45,467.5,468.5,93663.0
468.35,468.6,468.0,468.05,18743.0
468.0,468.2,467.7,467.8,27225.0
467.85,468.0,467.55,467.7,29609.0
467.7,468.45,467.6,468.3,32131.0
468.3,468.4,468.0,468.1,12819.0
468.05,468.1,467.6,467.65,16358.0
467.65,467.65,467.2,467.25,31293.0
467.25,467.75,466.2,467.75,76228.0
467.7,468.75,467.65,468.5,42223.0
468.45,468.55,468.0,468.05,20388.0
468.05,468.35,467.7,467.9,17719.0
467.9,467.95,467.6,467.65,16026.0
467.6,467.65,467.5,467.6,15390.0
467.6,467.6,467.4,467.4,12340.0
467.4,468.15,467.35,467.85,61854.0
467.8,468.1,467.5,468.05,19322.0
468.0,468.05,467.8,467.95,26499.0
468.0,468.4,467.85,467.95,26411.0
467.95,468.3,467.6,468.1,22049.0
468.0,468.5,467.9,468.35,29154.0
468.3,468.6,467.7,467.95,28747.0
467.85,467.95,467.4,467.55,40066.0
467.55,467.8,467.5,467.55,10524.0
467.55,467.85,467.55,467.75,17983.0
467.7,467.9,467.65,467.75,1621.0
