open,high,low,close,volume
1135.0,1135.9,1128.1,1131.1,31284.0
1131.1,1131.1,1128.9,1129.8,5342.0
1129.8,1132.1,1127.1,1130.2,23074.0
1130.2,1132.6,1130.0,1131.5,6379.0
1131.0,1133.1,1130.0,1133.0,8517.0
1133.0,1133.7,1129.0,1130.0,13585.0
1130.0,1130.9,1129.1,1130.0,4263.0
1130.0,1133.1,1129.2,1132.3,21822.0
1132.3,1133.9,1131.3,1133.9,5080.0
1133.9,1135.7,1133.0,1133.9,12542.0
1133.9,1141.9,1132.6,1140.8,54258.0
1140.8,1142.3,1137.0,1140.3,21222.0
1140.2,1142.2,1140.0,1141.2,10417.0
1141.2,1142.2,1140.4,1141.9,7505.0
1141.9,1144.4,1141.1,1143.5,4846.0
1143.5,1144.0,1141.6,1143.5,4463.0
1143.5,1144.7,1143.0,1143.1,4912.0
1143.1,1143.7,1141.3,1141.5,7194.0
1141.5,1141.5,1140.7,1141.3,5645.0
1141.3,1141.3,1139.4,1140.3,38730.0
1140.3,1140.3,1139.4,1140.0,9657.0
1140.0,1141.7,1138.5,1139.0,209389.0
1139.0,1141.9,1137.0,1140.8,45313.0
1140.8,1141.4,1140.2,1140.7,3312.0
1140.7,1148.8,1140.6,1147.5,89865.0
1147.5,1149.9,1147.4,1149.8,25819.0
1149.8,1154.5,1149.8,1150.7,37918.0
1150.7,1151.3,1145.6,1146.3,16801.0
1146.3,1147.0,1145.0,1146.4,25890.0
1146.4,1149.0,1146.3,1148.3,86409.0
1148.3,1148.5,1145.1,1147.2,205520.0
1147.7,1151.1,1146.5,1150.7,14927.0
1150.7,1152.0,1150.2,1150.5,6659.0
1150.3,1152.7,1150.3,1151.1,9692.0
