ts_ist,regime,nifty_ltp,prev_close,gap_pct,vwap,ema20,ema50,above_vwap,above_ema50,leading_sectors,lagging_sectors,sector_rows
2026-08-18 09:30:03,NORMAL,24238.3,,0,24241.25070091428,,,False,True,"[[""NIFTY_AUTO"", 0.6073047936637435, 0.6073047936637435]]","[[""NIFTY_REALTY"", -1.562671948938048, -1.562671948938048], [""NIFTY_IT"", -1.2730542265270508, -1.2730542265270508]]","[{""sector"": ""NIFTY_AUTO"", ""ltp"": 29355.3, ""return_pct"": 0.6073047936637435, ""rs_vs_nifty"": 0.6073047936637435}, {""sector"": ""NIFTY_PHARMA"", ""ltp"": 26448.4, ""return_pct"": 0.40563292592881656, ""rs_vs_nifty"": 0.40563292592881656}, {""sector"": ""NIFTY_HEALTHCARE"", ""ltp"": 16484.85, ""return_pct"": 0.3378100776963179, ""rs_vs_nifty"": 0.3378100776963179}, {""sector"": ""NIFTY_ENERGY"", ""ltp"": 38753.65, ""return_pct"": 0.2613016183883899, ""rs_vs_nifty"": 0.2613016183883899}, {""sector"": ""NIFTY_METAL"", ""ltp"": 13113.1, ""return_pct"": 0.06486271996092974, ""rs_vs_nifty"": 0.06486271996092974}, {""sector"": ""NIFTY_MEDIA"", ""ltp"": 1594.4, ""return_pct"": -0.0845997180009343, ""rs_vs_nifty"": -0.0845997180009343}, {""sector"": ""NIFTY_FMCG"", ""ltp"": 48012.55, ""return_pct"": -0.19228750411859044, ""rs_vs_nifty"": -0.19228750411859044}, {""sector"": ""NIFTY_BANK"", ""ltp"": 57354.05, ""return_pct"": -0.25000956558337883, ""rs_vs_nifty"": -0.25000956558337883}, {""sector"": ""NIFTY_INFRA"", ""ltp"": 9387.4, ""return_pct"": -0.3090320182658139, ""rs_vs_nifty"": -0.3090320182658139}, {""sector"": ""NIFTY_FIN_SERVICE"", ""ltp"": 26129.05, ""return_pct"": -0.3360395771470285, ""rs_vs_nifty"": -0.3360395771470285}, {""sector"": ""NIFTY_PSU_BANK"", ""ltp"": 8670.8, ""return_pct"": -0.40660678596863675, ""rs_vs_nifty"": -0.40660678596863675}, {""sector"": ""NIFTY_IT"", ""ltp"": 30415.6, ""return_pct"": -1.2730542265270508, ""rs_vs_nifty"": -1.2730542265270508}, {""sector"": ""NIFTY_REALTY"", ""ltp"": 894.5, ""return_pct"": -1.562671948938048, ""rs_vs_nifty"": -1.562671948938048}]"
2026-08-18 09:31:40,NORMAL,24229.5,,0,24240.72469927865,,,False,True,"[[""NIFTY_AUTO"", 0.5519550621870613, 0.5519550621870613]]","[[""NIFTY_REALTY"", -1.5461648508858883, -1.5461648508858883], [""NIFTY_IT"", -1.249034335460498, -1.249034335460498]]","[{""sector"": ""NIFTY_AUTO"", ""ltp"": 29339.15, ""return_pct"": 0.5519550621870613, ""rs_vs_nifty"": 0.5519550621870613}, {""sector"": ""NIFTY_PHARMA"", ""ltp"": 26467.8, ""return_pct"": 0.47928083199356153, ""rs_vs_nifty"": 0.47928083199356153}, {""sector"": ""NIFTY_HEALTHCARE"", ""ltp"": 16486.85, ""return_pct"": 0.34998341382951853, ""rs_vs_nifty"": 0.34998341382951853}, {""sector"": ""NIFTY_ENERGY"", ""ltp"": 38737.95, ""return_pct"": 0.22068344602503487, ""rs_vs_nifty"": 0.22068344602503487}, {""sector"": ""NIFTY_METAL"", ""ltp"": 13107.3, ""return_pct"": 0.02060345222287524, ""rs_vs_nifty"": 0.02060345222287524}, {""sector"": ""NIFTY_MEDIA"", ""ltp"": 1595.7, ""return_pct"": -0.0031333228889208536, ""rs_vs_nifty"": -0.0031333228889208536}, {""sector"": ""NIFTY_FMCG"", ""ltp"": 48020.6, ""return_pct"": -0.17555329430071137, ""rs_vs_nifty"": -0.17555329430071137}, {""sector"": ""NIFTY_BANK"", ""ltp"": 57357.8, ""return_pct"": -0.24348757691598633, ""rs_vs_nifty"": -0.24348757691598633}, {""sector"": ""NIFTY_FIN_SERVICE"", ""ltp"": 26132.8, ""return_pct"": -0.321735962909783, ""rs_vs_nifty"": -0.321735962909783}, {""sector"": ""NIFTY_PSU_BANK"", ""ltp"": 8675.9, ""return_pct"": -0.3480278422273907, ""rs_vs_nifty"": -0.3480278422273907}, {""sector"": ""NIFTY_INFRA"", ""ltp"": 9381.85, ""return_pct"": -0.36797111453299675, ""rs_vs_nifty"": -0.36797111453299675}, {""sector"": ""NIFTY_IT"", ""ltp"": 30423.0, ""return_pct"": -1.249034335460498, ""rs_vs_nifty"": -1.249034335460498}, {""sector"": ""NIFTY_REALTY"", ""ltp"": 894.65, ""return_pct"": -1.5461648508858883, ""rs_vs_nifty"": -1.5461648508858883}]"
2026-08-18 10:01:50,NORMAL,24224.45,,0,24237.090168457817,,,False,True,"[[""NIFTY_PHARMA"", 0.6954791954156104, 0.6954791954156104], [""NIFTY_HEALTHCARE"", 0.6893151585424865, 0.6893151585424865]]","[[""NIFTY_IT"", -1.2878232136017502, -1.2878232136017502], [""NIFTY_REALTY"", -1.2820512820512922, -1.2820512820512922]]","[{""sector"": ""NIFTY_PHARMA"", ""ltp"": 26524.75, ""return_pct"": 0.6954791954156104, ""rs_vs_nifty"": 0.6954791954156104}, {""sector"": ""NIFTY_HEALTHCARE"", ""ltp"": 16542.6, ""return_pct"": 0.6893151585424865, ""rs_vs_nifty"": 0.6893151585424865}, {""sector"": ""NIFTY_AUTO"", ""ltp"": 29301.65, ""return_pct"": 0.42343401386657437, ""rs_vs_nifty"": 0.42343401386657437}, {""sector"": ""NIFTY_ENERGY"", ""ltp"": 38741.15, ""return_pct"": 0.22896230918190602, ""rs_vs_nifty"": 0.22896230918190602}, {""sector"": ""NIFTY_MEDIA"", ""ltp"": 1595.6, ""return_pct"": -0.00939996866677681, ""rs_vs_nifty"": -0.00939996866677681}, {""sector"": ""NIFTY_METAL"", ""ltp"": 13079.05, ""return_pct"": -0.19496970529433244, ""rs_vs_nifty"": -0.19496970529433244}, {""sector"": ""NIFTY_FMCG"", ""ltp"": 47986.85, ""return_pct"": -0.245712248506143, ""rs_vs_nifty"": -0.245712248506143}, {""sector"": ""NIFTY_INFRA"", ""ltp"": 9393.15, ""return_pct"": -0.24796899060160743, ""rs_vs_nifty"": -0.24796899060160743}, {""sector"": ""NIFTY_BANK"", ""ltp"": 57318.6, ""return_pct"": -0.31166409845247006, ""rs_vs_nifty"": -0.31166409845247006}, {""sector"": ""NIFTY_PSU_BANK"", ""ltp"": 8675.9, ""return_pct"": -0.3480278422273907, ""rs_vs_nifty"": -0.3480278422273907}, {""sector"": ""NIFTY_FIN_SERVICE"", ""ltp"": 26113.15, ""return_pct"": -0.39668690151294095, ""rs_vs_nifty"": -0.39668690151294095}, {""sector"": ""NIFTY_REALTY"", ""ltp"": 897.05, ""return_pct"": -1.2820512820512922, ""rs_vs_nifty"": -1.2820512820512922}, {""sector"": ""NIFTY_IT"", ""ltp"": 30411.05, ""return_pct"": -1.2878232136017502, ""rs_vs_nifty"": -1.2878232136017502}]"
2026-08-18 10:31:55,NORMAL,24229.7,,0,24233.184036036775,,,False,True,"[[""NIFTY_PHARMA"", 0.524076981043254, 0.524076981043254], [""NIFTY_HEALTHCARE"", 0.5188884526776776, 0.5188884526776776]]","[[""NIFTY_REALTY"", -1.2655441839991197, -1.2655441839991197], [""NIFTY_IT"", -1.0294470880750908, -1.0294470880750908]]","[{""sector"": ""NIFTY_PHARMA"", ""ltp"": 26479.6, ""return_pct"": 0.524076981043254, ""rs_vs_nifty"": 0.524076981043254}, {""sector"": ""NIFTY_HEALTHCARE"", ""ltp"": 16514.6, ""return_pct"": 0.5188884526776776, ""rs_vs_nifty"": 0.5188884526776776}, {""sector"": ""NIFTY_AUTO"", ""ltp"": 29276.1, ""return_pct"": 0.33586833961087253, ""rs_vs_nifty"": 0.33586833961087253}, {""sector"": ""NIFTY_ENERGY"", ""ltp"": 38769.6, ""return_pct"": 0.30256657693585587, ""rs_vs_nifty"": 0.30256657693585587}, {""sector"": ""NIFTY_MEDIA"", ""ltp"": 1595.2, ""return_pct"": -0.03446655177815789, ""rs_vs_nifty"": -0.03446655177815789}, {""sector"": ""NIFTY_INFRA"", ""ltp"": 9394.6, ""return_pct"": -0.2325704879732346, ""rs_vs_nifty"": -0.2325704879732346}, {""sector"": ""NIFTY_FMCG"", ""ltp"": 47979.65, ""return_pct"": -0.26067949206996244, ""rs_vs_nifty"": -0.26067949206996244}, {""sector"": ""NIFTY_FIN_SERVICE"", ""ltp"": 26147.2, ""return_pct"": -0.26681008423875485, ""rs_vs_nifty"": -0.26681008423875485}, {""sector"": ""NIFTY_BANK"", ""ltp"": 57340.8, ""return_pct"": -0.273053925541499, ""rs_vs_nifty"": -0.273053925541499}, {""sector"": ""NIFTY_METAL"", ""ltp"": 13058.85, ""return_pct"": -0.349114051554416, ""rs_vs_nifty"": -0.349114051554416}, {""sector"": ""NIFTY_PSU_BANK"", ""ltp"": 8669.55, ""return_pct"": -0.4209643702189412, ""rs_vs_nifty"": -0.4209643702189412}, {""sector"": ""NIFTY_IT"", ""ltp"": 30490.65, ""return_pct"": -1.0294470880750908, ""rs_vs_nifty"": -1.0294470880750908}, {""sector"": ""NIFTY_REALTY"", ""ltp"": 897.2, ""return_pct"": -1.2655441839991197, ""rs_vs_nifty"": -1.2655441839991197}]"
2026-08-18 11:02:00,NORMAL,24197.95,,0,24228.664501097857,,,False,True,[],"[[""NIFTY_IT"", -1.4223670628866738, -1.4223670628866738], [""NIFTY_REALTY"", -0.9794211510949807, -0.9794211510949807], [""NIFTY_PSU_BANK"", -0.6621717856240548, -0.6621717856240548]]","[{""sector"": ""NIFTY_HEALTHCARE"", ""ltp"": 16497.5, ""return_pct"": 0.41480642873882084, ""rs_vs_nifty"": 0.41480642873882084}, {""sector"": ""NIFTY_PHARMA"", ""ltp"": 26443.05, ""return_pct"": 0.3853228075037346, ""rs_vs_nifty"": 0.3853228075037346}, {""sector"": ""NIFTY_AUTO"", ""ltp"": 29263.35, ""return_pct"": 0.292171183181907, ""rs_vs_nifty"": 0.292171183181907}, {""sector"": ""NIFTY_ENERGY"", ""ltp"": 38750.55, ""return_pct"": 0.25328146970518567, ""rs_vs_nifty"": 0.25328146970518567}, {""sector"": ""NIFTY_MEDIA"", ""ltp"": 1599.25, ""return_pct"": 0.21933260222465922, ""rs_vs_nifty"": 0.21933260222465922}, {""sector"": ""NIFTY_INFRA"", ""ltp"": 9391.6, ""return_pct"": -0.26442945892847275, ""rs_vs_nifty"": -0.26442945892847275}, {""sector"": ""NIFTY_FMCG"", ""ltp"": 47964.8, ""return_pct"": -0.29154943192034927, ""rs_vs_nifty"": -0.29154943192034927}, {""sector"": ""NIFTY_BANK"", ""ltp"": 57261.5, ""return_pct"": -0.4109722458946306, ""rs_vs_nifty"": -0.4109722458946306}, {""sector"": ""NIFTY_FIN_SERVICE"", ""ltp"": 26104.65, ""return_pct"": -0.42910842711736397, ""rs_vs_nifty"": -0.42910842711736397}, {""sector"": ""NIFTY_METAL"", ""ltp"": 13041.25, ""return_pct"": -0.48341803641469683, ""rs_vs_nifty"": -0.48341803641469683}, {""sector"": ""NIFTY_PSU_BANK"", ""ltp"": 8648.55, ""return_pct"": -0.6621717856240548, ""rs_vs_nifty"": -0.6621717856240548}, {""sector"": ""NIFTY_REALTY"", ""ltp"": 899.8, ""return_pct"": -0.9794211510949807, ""rs_vs_nifty"": -0.9794211510949807}, {""sector"": ""NIFTY_IT"", ""ltp"": 30369.6, ""return_pct"": -1.4223670628866738, ""rs_vs_nifty"": -1.4223670628866738}]"
2026-08-18 11:12:15,NORMAL,24201.65,,0,24226.912456061913,,,False,True,[],"[[""NIFTY_IT"", -1.5106563922123548, -1.5106563922123548], [""NIFTY_REALTY"", -0.8473643666776763, -0.8473643666776763], [""NIFTY_PSU_BANK"", -0.5972755048126622, -0.5972755048126622]]","[{""sector"": ""NIFTY_AUTO"", ""ltp"": 29302.2, ""return_pct"": 0.42531898924193895, ""rs_vs_nifty"": 0.42531898924193895}, {""sector"": ""NIFTY_HEALTHCARE"", ""ltp"": 16492.0, ""return_pct"": 0.38132975437251904, ""rs_vs_nifty"": 0.38132975437251904}, {""sector"": ""NIFTY_PHARMA"", ""ltp"": 26438.4, ""return_pct"": 0.36767008775110877, ""rs_vs_nifty"": 0.36767008775110877}, {""sector"": ""NIFTY_ENERGY"", ""ltp"": 38737.25, ""return_pct"": 0.21887244470947925, ""rs_vs_nifty"": 0.21887244470947925}, {""sector"": ""NIFTY_MEDIA"", ""ltp"": 1597.3, ""return_pct"": 0.09713300955663196, ""rs_vs_nifty"": 0.09713300955663196}, {""sector"": ""NIFTY_INFRA"", ""ltp"": 9397.8, ""return_pct"": -0.19858758562099219, ""rs_vs_nifty"": -0.19858758562099219}, {""sector"": ""NIFTY_FMCG"", ""ltp"": 47955.2, ""return_pct"": -0.31150575667212865, ""rs_vs_nifty"": -0.31150575667212865}, {""sector"": ""NIFTY_BANK"", ""ltp"": 57278.8, ""return_pct"": -0.3808841381757215, ""rs_vs_nifty"": -0.3808841381757215}, {""sector"": ""NIFTY_FIN_SERVICE"", ""ltp"": 26113.55, ""return_pct"": -0.3951611826609764, ""rs_vs_nifty"": -0.3951611826609764}, {""sector"": ""NIFTY_METAL"", ""ltp"": 13052.25, ""return_pct"": -0.39947804587702307, ""rs_vs_nifty"": -0.39947804587702307}, {""sector"": ""NIFTY_PSU_BANK"", ""ltp"": 8654.2, ""return_pct"": -0.5972755048126622, ""rs_vs_nifty"": -0.5972755048126622}, {""sector"": ""NIFTY_REALTY"", ""ltp"": 901.0, ""return_pct"": -0.8473643666776763, ""rs_vs_nifty"": -0.8473643666776763}, {""sector"": ""NIFTY_IT"", ""ltp"": 30342.4, ""return_pct"": -1.5106563922123548, ""rs_vs_nifty"": -1.5106563922123548}]"
2026-08-18 11:14:01,NORMAL,24202.8,,0,24226.64487881498,,,False,True,[],"[[""NIFTY_IT"", -1.4840397561656486, -1.4840397561656486], [""NIFTY_REALTY"", -0.819852536590739, -0.819852536590739], [""NIFTY_PSU_BANK"", -0.5984241115526907, -0.5984241115526907]]","[{""sector"": ""NIFTY_AUTO"", ""ltp"": 29309.05, ""return_pct"": 0.44879550073514296, ""rs_vs_nifty"": 0.44879550073514296}, {""sector"": ""NIFTY_HEALTHCARE"", ""ltp"": 16490.0, ""return_pct"": 0.36915641823931844, ""rs_vs_nifty"": 0.36915641823931844}, {""sector"": ""NIFTY_PHARMA"", ""ltp"": 26437.5, ""return_pct"": 0.3642534323151095, ""rs_vs_nifty"": 0.3642534323151095}, {""sector"": ""NIFTY_MEDIA"", ""ltp"": 1599.25, ""return_pct"": 0.21933260222465922, ""rs_vs_nifty"": 0.21933260222465922}, {""sector"": ""NIFTY_ENERGY"", ""ltp"": 38732.7, ""return_pct"": 0.20710093615831163, ""rs_vs_nifty"": 0.20710093615831163}, {""sector"": ""NIFTY_INFRA"", ""ltp"": 9397.3, ""return_pct"": -0.20389741411353185, ""rs_vs_nifty"": -0.20389741411353185}, {""sector"": ""NIFTY_FMCG"", ""ltp"": 47958.3, ""return_pct"": -0.30506152680435833, ""rs_vs_nifty"": -0.30506152680435833}, {""sector"": ""NIFTY_FIN_SERVICE"", ""ltp"": 26123.6, ""return_pct"": -0.3568274965051613, ""rs_vs_nifty"": -0.3568274965051613}, {""sector"": ""NIFTY_BANK"", ""ltp"": 57283.85, ""return_pct"": -0.37210119343697384, ""rs_vs_nifty"": -0.37210119343697384}, {""sector"": ""NIFTY_METAL"", ""ltp"": 13051.9, ""return_pct"": -0.40214886375777, ""rs_vs_nifty"": -0.40214886375777}, {""sector"": ""NIFTY_PSU_BANK"", ""ltp"": 8654.1, ""return_pct"": -0.5984241115526907, ""rs_vs_nifty"": -0.5984241115526907}, {""sector"": ""NIFTY_REALTY"", ""ltp"": 901.25, ""return_pct"": -0.819852536590739, ""rs_vs_nifty"": -0.819852536590739}, {""sector"": ""NIFTY_IT"", ""ltp"": 30350.6, ""return_pct"": -1.4840397561656486, ""rs_vs_nifty"": -1.4840397561656486}]"
2026-08-18 11:22:45,NORMAL,24192.15,,0,24224.754721449845,,,False,True,[],"[[""NIFTY_IT"", -1.5775225754516713, -1.5775225754516713], [""NIFTY_PSU_BANK"", -0.6122073924329913, -0.6122073924329913], [""NIFTY_REALTY"", -0.58325079784308, -0.58325079784308]]","[{""sector"": ""NIFTY_AUTO"", ""ltp"": 29292.0, ""return_pct"": 0.390361264098764, ""rs_vs_nifty"": 0.390361264098764}, {""sector"": ""NIFTY_HEALTHCARE"", ""ltp"": 16488.3, ""return_pct"": 0.35880908252609345, ""rs_vs_nifty"": 0.35880908252609345}, {""sector"": ""NIFTY_PHARMA"", ""ltp"": 26431.6, ""return_pct"": 0.34185535779025633, ""rs_vs_nifty"": 0.34185535779025633}, {""sector"": ""NIFTY_MEDIA"", ""ltp"": 1598.65, ""return_pct"": 0.18173272755758052, ""rs_vs_nifty"": 0.18173272755758052}, {""sector"": ""NIFTY_ENERGY"", ""ltp"": 38691.55, ""return_pct"": 0.10063993025058167, ""rs_vs_nifty"": 0.10063993025058167}, {""sector"": ""NIFTY_INFRA"", ""ltp"": 9396.4, ""return_pct"": -0.21345510540009943, ""rs_vs_nifty"": -0.21345510540009943}, {""sector"": ""NIFTY_FIN_SERVICE"", ""ltp"": 26114.3, ""return_pct"": -0.3923004598135273, ""rs_vs_nifty"": -0.3923004598135273}, {""sector"": ""NIFTY_BANK"", ""ltp"": 57271.5, ""return_pct"": -0.39358027611491725, ""rs_vs_nifty"": -0.39358027611491725}, {""sector"": ""NIFTY_FMCG"", ""ltp"": 47903.0, ""return_pct"": -0.4200182725098568, ""rs_vs_nifty"": -0.4200182725098568}, {""sector"": ""NIFTY_METAL"", ""ltp"": 13047.7, ""return_pct"": -0.4341986783266917, ""rs_vs_nifty"": -0.4341986783266917}, {""sector"": ""NIFTY_REALTY"", ""ltp"": 903.4, ""return_pct"": -0.58325079784308, ""rs_vs_nifty"": -0.58325079784308}, {""sector"": ""NIFTY_PSU_BANK"", ""ltp"": 8652.9, ""return_pct"": -0.6122073924329913, ""rs_vs_nifty"": -0.6122073924329913}, {""sector"": ""NIFTY_IT"", ""ltp"": 30321.8, ""return_pct"": -1.5775225754516713, ""rs_vs_nifty"": -1.5775225754516713}]"
2026-08-18 11:24:25,NORMAL,24194.05,,0,24224.388929442874,,,False,True,[],"[[""NIFTY_IT"", -1.5505813462824374, -1.5505813462824374], [""NIFTY_PSU_BANK"", -0.6058900553628449, -0.6058900553628449], [""NIFTY_REALTY"", -0.5557389677561426, -0.5557389677561426]]","[{""sector"": ""NIFTY_AUTO"", ""ltp"": 29303.5, ""return_pct"": 0.42977438558371334, ""rs_vs_nifty"": 0.42977438558371334}, {""sector"": ""NIFTY_HEALTHCARE"", ""ltp"": 16489.55, ""return_pct"": 0.3664174176093439, ""rs_vs_nifty"": 0.3664174176093439}, {""sector"": ""NIFTY_PHARMA"", ""ltp"": 26432.05, ""return_pct"": 0.34356368550825594, ""rs_vs_nifty"": 0.34356368550825594}, {""sector"": ""NIFTY_MEDIA"", ""ltp"": 1598.5, ""return_pct"": 0.17233275889080368, ""rs_vs_nifty"": 0.17233275889080368}, {""sector"": ""NIFTY_ENERGY"", ""ltp"": 38693.1, ""return_pct"": 0.10465000459217437, ""rs_vs_nifty"": 0.10465000459217437}, {""sector"": ""NIFTY_INFRA"", ""ltp"": 9397.2, ""return_pct"": -0.20495937981202433, ""rs_vs_nifty"": -0.20495937981202433}, {""sector"": ""NIFTY_BANK"", ""ltp"": 57275.35, ""return_pct"": -0.3868843677497302, ""rs_vs_nifty"": -0.3868843677497302}, {""sector"": ""NIFTY_FIN_SERVICE"", ""ltp"": 26113.45, ""return_pct"": -0.39554261237396404, ""rs_vs_nifty"": -0.39554261237396404}, {""sector"": ""NIFTY_FMCG"", ""ltp"": 47902.8, ""return_pct"": -0.42043402927551266, ""rs_vs_nifty"": -0.42043402927551266}, {""sector"": ""NIFTY_METAL"", ""ltp"": 13049.05, ""return_pct"": -0.42389695221526097, ""rs_vs_nifty"": -0.42389695221526097}, {""sector"": ""NIFTY_REALTY"", ""ltp"": 903.65, ""return_pct"": -0.5557389677561426, ""rs_vs_nifty"": -0.5557389677561426}, {""sector"": ""NIFTY_PSU_BANK"", ""ltp"": 8653.45, ""return_pct"": -0.6058900553628449, ""rs_vs_nifty"": -0.6058900553628449}, {""sector"": ""NIFTY_IT"", ""ltp"": 30330.1, ""return_pct"": -1.5505813462824374, ""rs_vs_nifty"": -1.5505813462824374}]"
2026-08-18 11:43:28,NORMAL,24198.05,,0,24220.102260295596,,,False,True,[],"[[""NIFTY_IT"", -1.5784963548192317, -1.5784963548192317], [""NIFTY_REALTY"", -0.786838340486419, -0.786838340486419], [""NIFTY_PSU_BANK"", -0.6604488755140014, -0.6604488755140014]]","[{""sector"": ""NIFTY_AUTO"", ""ltp"": 29301.85, ""return_pct"": 0.42411945945760693, ""rs_vs_nifty"": 0.42411945945760693}, {""sector"": ""NIFTY_HEALTHCARE"", ""ltp"": 16492.75, ""return_pct"": 0.3858947554224693, ""rs_vs_nifty"": 0.3858947554224693}, {""sector"": ""NIFTY_PHARMA"", ""ltp"": 26438.85, ""return_pct"": 0.36937841546909456, ""rs_vs_nifty"": 0.36937841546909456}, {""sector"": ""NIFTY_MEDIA"", ""ltp"": 1598.75, ""return_pct"": 0.18799937333542222, ""rs_vs_nifty"": 0.18799937333542222}, {""sector"": ""NIFTY_ENERGY"", ""ltp"": 38669.6, ""return_pct"": 0.04385210328398464, ""rs_vs_nifty"": 0.04385210328398464}, {""sector"": ""NIFTY_INFRA"", ""ltp"": 9394.4, ""return_pct"": -0.2346944193702582, ""rs_vs_nifty"": -0.2346944193702582}, {""sector"": ""NIFTY_FIN_SERVICE"", ""ltp"": 26123.85, ""return_pct"": -0.3558739222226783, ""rs_vs_nifty"": -0.3558739222226783}, {""sector"": ""NIFTY_BANK"", ""ltp"": 57276.9, ""return_pct"": -0.3841886124338696, ""rs_vs_nifty"": -0.3841886124338696}, {""sector"": ""NIFTY_METAL"", ""ltp"": 13051.55, ""return_pct"": -0.4048196816385169, ""rs_vs_nifty"": -0.4048196816385169}, {""sector"": ""NIFTY_FMCG"", ""ltp"": 47905.4, ""return_pct"": -0.41502919132191207, ""rs_vs_nifty"": -0.41502919132191207}, {""sector"": ""NIFTY_PSU_BANK"", ""ltp"": 8648.7, ""return_pct"": -0.6604488755140014, ""rs_vs_nifty"": -0.6604488755140014}, {""sector"": ""NIFTY_REALTY"", ""ltp"": 901.55, ""return_pct"": -0.786838340486419, ""rs_vs_nifty"": -0.786838340486419}, {""sector"": ""NIFTY_IT"", ""ltp"": 30321.5, ""return_pct"": -1.5784963548192317, ""rs_vs_nifty"": -1.5784963548192317}]"
