ts_ist,ts_utc,mode,nifty_regime,nifty_ltp,nifty_vwap,ema20,ema50,prev_close,gap_pct,slope,above_vwap,above_ema50,note
2026-08-19 09:30:01,2026-08-19 04:00:01,FULL,NORMAL,24095.65,24119.54,,,,,,False,,
2026-08-19 09:45:01,2026-08-19 04:15:01,FULL,NORMAL,24083.15,24106.51,,,,,,False,,
2026-08-19 10:00:01,2026-08-19 04:30:01,FULL,NORMAL,24099.25,24104.31,,,,,,False,,
2026-08-19 10:15:01,2026-08-19 04:45:01,FULL,NORMAL,24092.55,24103.04,,,,,,False,,
2026-08-19 10:30:02,2026-08-19 05:00:02,FULL,NORMAL,24064.3,24098.87,,,,,,False,,
2026-08-19 10:45:01,2026-08-19 05:15:01,FULL,NORMAL,24058.8,24092.97,,,,,,False,,
2026-08-19 11:00:01,2026-08-19 05:30:01,FULL,NORMAL,24057.0,24089.5,,,,,,False,,
2026-08-19 11:15:01,2026-08-19 05:45:01,FULL,NORMAL,24051.05,24084.7,,,,,,False,,
2026-08-19 11:30:01,2026-08-19 06:00:01,FULL,NORMAL,24054.8,24081.87,,,,,,False,,
2026-08-19 11:45:01,2026-08-19 06:15:01,FULL,NORMAL,24052.45,24079.27,,,,,,False,,
2026-08-19 12:00:01,2026-08-19 06:30:01,FULL,NORMAL,24080.0,24078.66,,,,,,True,,
2026-08-19 12:15:01,2026-08-19 06:45:01,FULL,NORMAL,24053.35,24077.13,,,,,,False,,
2026-08-19 12:30:01,2026-08-19 07:00:01,FULL,NORMAL,24058.7,24076.09,,,,,,False,,
2026-08-19 12:45:01,2026-08-19 07:15:01,FULL,NORMAL,24055.15,24075.04,,,,,,False,,
2026-08-19 13:00:01,2026-08-19 07:30:01,FULL,NORMAL,24056.05,24074.07,,,,,,False,,
2026-08-19 13:15:01,2026-08-19 07:45:01,FULL,NORMAL,24047.5,24073.16,,,,,,False,,
2026-08-19 13:30:01,2026-08-19 08:00:01,FULL,NORMAL,24042.2,24071.95,,,,,,False,,
2026-08-19 13:45:01,2026-08-19 08:15:01,FULL,NORMAL,24044.05,24070.8,,,,,,False,,
